"","est1","est2","est3","est4","est5","est6","est7","est8"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"kinship_score","1.159678","0.874503","0.880472","0.473380","0.258315","0.175348","0.174089","0.203049"
"","0.345406","0.235658","0.245038","0.235936","0.036208","0.024641","0.025167","0.043309"
"s_religion_god","","0.670354","0.687251","0.700245","","0.304701","0.298362","0.335906"
"","","0.106445","0.114469","0.087552","","0.041906","0.040541","0.032117"
"small_scale","","","0.773508","-2.448778","","","","-0.269457"
"","","","1.807055","2.195145","","","","0.269917"
"N","79","79","78","78","26220","25752","25722","23891"
"r2","0.124158","0.566025","0.575563","0.759219","0.399671","0.458430","0.463008","0.411588"
