"","est1","est2","est3","est4","est5","est6","est7","est8"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"kinship_score","0.303850","0.322958","0.310996","0.272404","0.272847","0.197439","0.785695","0.875657"
"","0.172374","0.170970","0.171458","0.135479","0.126101","0.167232","0.354182","0.351203"
"small_scale","","","1.331881","","","1.532682","","-4.078384"
"","","","0.784007","","","0.664327","","1.814085"
"N","2570","2567","2490","2626","2623","2545","72","71"
"r2","0.008154","0.022657","0.031042","0.006563","0.012435","0.018951","0.416591","0.454148"
