"","est1","est2","est3","est4","est5","est6","est7","est8"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"corigin_kinship_score","0.110484","-0.226174","0.368900","0.291621","0.357294","0.392852","0.411980","0.406786"
"","0.042834","0.134955","0.125822","0.123842","0.044197","0.051764","0.046038","0.044158"
"N","27994","27994","28432","27994","28432","27994","28432","27994"
"r2","0.036559","0.027883","0.056206","0.096746","0.041169","0.062293","0.044802","0.060240"
