"","est1","est2","est3","est4","est5","est6"
"","b/se","b/se","b/se","b/se","b/se","b/se"
"kinship_score","-0.341486","-0.380094","-0.006633","-0.028131","0.639308","0.653516"
"","0.129939","0.123755","0.090023","0.082755","0.196744","0.194131"
"small_scale","-0.378781","-0.316556","-0.406739","-0.537222","-0.341074","-0.244392"
"","0.137146","0.122060","0.175470","0.166943","0.319721","0.280543"
"s_have_god","","0.121311","","","",""
"","","0.035468","","","",""
"N","2468","2465","7582","7573","7601","7592"
"r2","0.795343","0.802429","0.749891","0.754362","0.599393","0.602313"
