step,rc,seconds
EA/Table_3,0,18.518
EA/Table_4,0,6.8340001
EA/Table_5,0,.42300001
EA/Figures_2_3,0,.90600002
EA/Figure_4,0,5.2490001
EA/Table_11,0,.177
Country/Tables_6_7_9_10,0,6.197
Country/Figure_5,0,1.025
Country/Figures_6_8,0,.56699997
Country/Figure_9,0,1.595
MFQ/Table_8,0,8.6669998
MFQ/Figure_7,0,.32100001
