,estimator,estimate,SE,stat,p-value,CI lower,CI upper
0,2SLS (analytic),-0.5913697802009207,0.09914322260623232,-5.964802884708189,2.4492953732311938e-09,-0.7856869258203734,-0.397052634581468
1,2SLS (LMMP tF-adjusted),-0.5913697802009207,0.09914322260623232,,,-0.785690496509136,-0.39704906389270533
2,Anderson–Rubin set,,,12.077428956378043,0.00110823121207518,-0.8326626748011058,-0.3718463221425622
3,"OLS (comparator, not causal)",-0.17112665666604243,0.025956969730624942,-6.5927054830341465,4.318828097896793e-11,-0.22200138248586365,-0.1202519308462212
