,estimator,estimate,SE,stat,p-value,CI lower,CI upper
0,2SLS (analytic),-0.7715998323591579,0.0648293472094612,-11.902014528484264,1.1552424360224257e-32,-0.8986630180309441,-0.6445366466873717
1,2SLS (LMMP tF-adjusted),-0.7715998323591579,0.0648293472094612,,,-0.8986653528897017,-0.644534311828614
2,Anderson–Rubin set,,,15.600918550720314,0.00026083251081045894,-0.9301423528078379,-0.6291971945540987
3,"OLS (comparator, not causal)",-0.41366716667720116,0.02602503337884108,-15.894971608894135,6.865956055026056e-57,-0.4646752947961824,-0.3626590385582199
