key,b,se,n,r2,stata_key,stata_block,stata_var,stata_log
T3_c4_l_sh_popedu_c,-0.008222283370625244,0.016464251717976025,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_shind_manuf_cbp reg* t2', '')",main,l_sh_popedu_c,ipw
T3_c4_l_sh_popfborn,-0.007105825673360464,0.007843291448480469,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_shind_manuf_cbp reg* t2', '')",main,l_sh_popfborn,ipw
T3_c4_l_sh_empl_f,-0.05413707475714332,0.024784179398714287,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_shind_manuf_cbp reg* t2', '')",main,l_sh_empl_f,ipw
T3_fs_c4,0.6345530015324988,0.08964673087708759,1444.0,0.5846144087041043,None,main,,ipw
T3_fs_c4_clusterSE_info,0.6345530015324988,0.09251946498784681,1444.0,,None,main,,ipw
T3_c5,-0.5624622554001341,0.09625954370233564,1444.0,0.3433672933868839,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T3_c5_l_shind_manuf_cbp,-0.056296294575999196,0.016428490388865753,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_shind_manuf_cbp,ipw
T3_c5_l_sh_routine33,-0.2301289449773378,0.0625810643982859,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_sh_routine33,ipw
T3_c5_l_task_outsource,0.24401652981150823,0.251966193367856,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_task_outsource,ipw
T3_fs_c5,0.6380303215236484,0.08661606346889333,1444.0,0.5833156762722671,None,main,,ipw
T3_fs_c5_clusterSE_info,0.6380303215236484,0.08934039077688678,1444.0,,None,main,,ipw
T3_c6,-0.5963600742334846,0.0987738849447194,1444.0,0.3428837273726115,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T3_c6_l_shind_manuf_cbp,-0.040219332090937594,0.013141917974655097,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_shind_manuf_cbp,ipw
T3_c6_l_sh_popedu_c,0.013140007071796165,0.012195506375204175,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_sh_popedu_c,ipw
T3_c6_l_sh_popfborn,0.03037837940769642,0.01084160584363691,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_sh_popfborn,ipw
T3_c6_l_sh_empl_f,-0.005860248250651532,0.02446843689102329,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_sh_empl_f,ipw
T3_c6_l_sh_routine33,-0.244890215226944,0.06374706134389951,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_sh_routine33,ipw
T3_c6_l_task_outsource,-0.0590307981400124,0.23697419327304942,1444.0,,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,l_task_outsource,ipw
T3_fs_c6,0.6310409368033858,0.0870071884438687,1444.0,0.5848470981992109,None,main,,ipw
T3_fs_c6_clusterSE_info,0.6310409368033858,0.08996343593501903,1444.0,,None,main,,ipw
T4_A_c1,-1.0305641843694442,0.5026753292598151,1444.0,-0.005605599456063981,"('lnchg_popworkage', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_A_c2,-0.35951239231887133,0.660123322326339,1444.0,0.03419051155335706,"('lnchg_popworkage_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_A_c3,-1.0974741373839851,0.48780335441603934,1444.0,0.003934009666521465,"('lnchg_popworkage_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_A_c4,-1.2986480327060004,0.8255864490996455,1444.0,0.16525180740920875,"('lnchg_popworkage_age1634', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_A_c5,-0.6150682959921382,0.5718578412337898,1444.0,0.5850271442078002,"('lnchg_popworkage_age3549', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_A_c6,-1.1273825484248883,0.42150603601946934,1444.0,0.21839051876397897,"('lnchg_popworkage_age5064', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 't2', '')",main,d_tradeusch_pw,ipw
T4_B_c1,-0.35485972716409764,0.5126907155262764,1444.0,0.3552870640859288,"('lnchg_popworkage', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_B_c2,0.14744397158969924,0.6192876013678942,1444.0,0.28898154146431065,"('lnchg_popworkage_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_B_c3,-0.2398883913189475,0.5185370214471465,1444.0,0.453542872495555,"('lnchg_popworkage_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_B_c4,-0.40844659358659186,0.9528480437923518,1444.0,0.421050652629849,"('lnchg_popworkage_age1634', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_B_c5,-0.044830229181086576,0.47443266562453706,1444.0,0.676392158366619,"('lnchg_popworkage_age3549', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_B_c6,-0.5488580511531845,0.4495413957968392,1444.0,0.4559154552132755,"('lnchg_popworkage_age5064', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c1,-0.05016779570349934,0.7459279742136143,1444.0,0.4233574381229266,"('lnchg_popworkage', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c2,-0.0262028526430358,0.6852470668781239,1444.0,0.3489959014680166,"('lnchg_popworkage_edu_c', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c3,-0.04745534178774613,0.823434811387903,1444.0,0.5173932450372984,"('lnchg_popworkage_edu_nc', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c4,-0.13843615034936133,1.1896387402705653,1444.0,0.43604518629999534,"('lnchg_popworkage_age1634', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c5,0.3671648672625672,0.5604857938463372,1444.0,0.7490060248850318,"('lnchg_popworkage_age3549', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T4_C_c6,-0.1381998040798666,0.6507271210514869,1444.0,0.5951129268498082,"('lnchg_popworkage_age5064', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_A_c1,-4.230545570190055,1.0471516520303008,1444.0,0.30840619856786544,"('lnchg_no_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_A_c2,-0.2740581156102141,0.650887086271119,1444.0,0.34465671202709436,"('lnchg_no_empl_nmfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_A_c3,4.921261244579926,1.1278109273906565,1444.0,0.41526155822611266,"('lnchg_no_unempl', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_A_c4,2.0583084125239823,1.0796904114197916,1444.0,0.45829665407928377,"('lnchg_no_nilf', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_A_c5,1.4658772905343498,0.5565541020210116,1444.0,0.320467722589592,"('lnchg_no_ssadiswkrs', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
T5_Ball_c1,-0.5963600742335936,0.09877388494646011,1444.0,0.34288372737255846,"('d_sh_empl_mfg', 'd_tradeusch_pw', 'd_tradeotch_pw_lag', 'l_sh_empl_f l_sh_popedu_c l_sh_popfborn l_sh_routine33 l_shind_manuf_cbp l_task_outsource reg* t2', '')",main,d_tradeusch_pw,ipw
