"case","beta","se_ehw","se_akm","akm0_lo","akm0_hi"
"BHJshares_weighted_sic3",-0.596360075424499,0.0952158593450316,0.126490818972574,-1.0180761098881,-0.361822342536254
"BHJshares_weighted_nocluster",-0.596360075424499,0.0952158593450316,0.109424978140636,-0.892015209651773,-0.391882114333908
"BHJshares_unweighted_nocluster",-0.302826618169407,0.0901631921892686,0.110328128222768,-1.4989903080219,-0.16626344401844
