,coef
treat_m4,-0.00029243266518091157
treat_m3,-0.00033587635378082065
treat_m2,-0.0031460304191084387
treat_m1,-0.009709568131040666
treat_p0,0.011038976734419783
treat_p1,0.0010804705486647205
treat_p2,0.00063607257541941
treat_p3,0.0005620538527715779
treat_p4,0.00024111283392726197
L4treat_m4,-0.0003924535437613635
L4treat_m3,-0.00042019500383324226
L4treat_m2,-0.0021565969433769046
L4treat_m1,-0.00891490423956118
L4treat_p0,0.00898429611299493
L4treat_p1,0.0006617893283022267
L4treat_p2,0.0008631724274536536
L4treat_p3,0.000679029454968507
L4treat_p4,0.0006098270475715295
L8treat_m4,-0.0006966691089200927
L8treat_m3,-0.0010073891646552743
L8treat_m2,-0.001442091447541466
L8treat_m1,-0.008456841674595367
L8treat_p0,0.008814671987262724
L8treat_p1,0.0010232519767457062
L8treat_p2,0.0013753934787594756
L8treat_p3,0.0009042981865497808
L8treat_p4,3.684696665867737e-05
L12treat_m4,-0.0007563906905154111
L12treat_m3,-0.0008203231596651225
L12treat_m2,-0.0007176587295974929
L12treat_m1,-0.008164172399308629
L12treat_p0,0.00840963065945235
L12treat_p1,0.0009032075290283099
L12treat_p2,0.0013209846322673347
L12treat_p3,0.001734627802012925
L12treat_p4,0.00032442556254117975
L16treat_m4,-0.0008481812423229133
L16treat_m3,-0.0013208087909476335
L16treat_m2,-0.0012219449462273272
L16treat_m1,-0.00350990492578881
L16treat_p0,0.006326104064158272
L16treat_p1,0.0007208901046752014
L16treat_p2,0.0014862759500065548
L16treat_p3,0.001377304972061197
L16treat_p4,0.0002729761587845183
F12treat_m4,-0.000574064350161599
F12treat_m3,-0.0010107557548078509
F12treat_m2,0.00015659730466266973
F12treat_m1,-0.0018964022955787702
F12treat_p0,0.0023487452565937547
F12treat_p1,0.00022194212565347134
F12treat_p2,0.0008055366670332073
F12treat_p3,0.0005123546035314021
F12treat_p4,-0.00012152683305204548
F8treat_m4,-0.000282298742386938
F8treat_m3,-0.000869198378955288
F8treat_m2,0.0008270529584404935
F8treat_m1,-0.0010214453701957705
F8treat_p0,0.0006053227710301964
F8treat_p1,0.00037144805316278697
F8treat_p2,0.00029685105693353535
F8treat_p3,0.00044592499484314606
F8treat_p4,-0.0003244844231133828
window_m4,0.000622953016383367
window_m3,0.0006537337159797577
window_m2,-0.0017526195614150197
window_m1,0.005204698156792381
window_p0,-0.003063697572453125
window_p1,-0.0013142371769506362
window_p2,-0.0013213222936046783
window_p3,-0.0010803337880373417
window_p4,-0.00025966679024928184
