,coef
window_p7,-9.853056690755257e-07
window_p8,2.1407454414738538e-05
window_p9,-3.059505235438322e-05
window_p10,-1.9461782926961786e-06
window_p11,-4.8130019578413245e-06
window_p12,-4.247348029448504e-06
window_p13,2.4868850579308157e-06
window_p14,1.5700122077417e-05
window_p15,2.2691023279533984e-05
window_p16,-5.763644638551809e-06
window_p17,-3.4974236030941e-06
