dose,att_d,acrt_d
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0,0.5025549100471592,0.8116406320710323
1.0833333358168602,0.5693759841202406,0.7921011823605338
1.2000000059604643,0.6602091617211122,0.7651096842412584
1.3166666761040686,0.7479180850625918,0.7385425395099756
1.3333333432674408,0.7601957768480272,0.7347818742126893
1.3333333432674408,0.7601957768480272,0.7347818742126893
1.3333333432674408,0.7601957768480272,0.7347818742126893
1.3916666731238365,0.8026756225460366,0.721687746489794
1.450000002980232,0.8443947384151207,0.7086997070949269
1.5,0.8795531927254031,0.6976515395481651
1.5,0.8795531927254031,0.6976515395481651
1.5,0.8795531927254031,0.6976515395481651
1.5,0.8795531927254031,0.6976515395481651
1.5,0.8795531927254031,0.6976515395481651
1.5,0.8795531927254031,0.6976515395481651
1.5500000014901156,0.9141611903219887,0.6866813134691545
1.6666666716337204,0.9927943986426488,0.6613872288476487
1.7833333417773252,1.0685013842845583,0.6365174976141353
1.8333333432674408,1.1000637215420355,0.6259889454695662
1.8333333432674408,1.1000637215420355,0.6259889454695662
1.8333333432674408,1.1000637215420355,0.6259889454695662
1.8750000074505806,1.1259648578424597,0.6172746921708714
1.9333333373069765,1.1616188505853042,0.6051656704052937
1.9916666671633718,1.1965695780099748,0.5931627369677441
2.0,1.2015054905015454,0.5914566924626273
2.0,1.2015054905015454,0.5914566924626273
2.0,1.2015054905015454,0.5914566924626273
2.0000000104308127,1.2015054966709195,0.5914566903285304
2.0000000208616258,1.2015055028402941,0.5914566881944335
2.0166666954755788,1.2113347270054684,0.5880510925742163
2.1333333551883706,1.278560085787398,0.5644544236441971
2.250000014901161,1.343057253966644,0.5412821080262905
2.333333343267441,1.3874837632238153,0.5249902621637725
2.333333343267441,1.3874837632238153,0.5249902621637725
2.333333343267441,1.3874837632238153,0.5249902621637725
2.333333343267441,1.3874837632238153,0.5249902621637725
2.333333343267441,1.3874837632238153,0.5249902621637725
2.333333343267441,1.3874837632238153,0.5249902621637725
2.3666666746139526,1.4048757394266695,0.5185341457204959
2.4250000044703484,1.4347959473505565,0.5073192970596405
2.4833333343267436,1.4640650500509362,0.4962105367268134
2.5,1.4723089260942521,0.4930560908144189
2.5,1.4723089260942521,0.4930560908144189
2.5,1.4723089260942521,0.4930560908144189
2.5500000059604644,1.4967261243408492,0.4836447130313733
2.608333346247673,1.5246208451737817,0.4727632829100289
2.6666666865348816,1.5518839100850106,0.4619879411546526
2.7250000163912778,1.5785215028556678,0.4513186896635702
2.783333346247673,1.6045398169024905,0.4407555265005161
2.833333343267441,1.6263530246120301,0.43178582429530826
2.833333343267441,1.6263530246120301,0.43178582429530826
2.833333343267441,1.6263530246120301,0.43178582429530826
2.900000008940695,1.6547433640179072,0.41994746463237337
3.133333338797092,1.7479914082580483,0.379604400140806
3.3666666686534885,1.8320241024841672,0.340958749049448
3.5,1.8760577016040134,0.31963762382999067
3.5,1.8760577016040134,0.31963762382999067
3.5,1.8760577016040134,0.31963762382999067
4.200000005960474,2.0629179795536503,0.21679500027107423
5.425000016391293,2.235996716199438,0.07358001971278974
6.650000026822085,2.2622928878199993,-0.02285000181117967
8.583333365619183,2.1442378245098004,-0.07985382036938152
10.800000035762796,2.025428626915779,-0.001810520565871233
13.016666705906363,2.249402728317084,0.22942434365256498
14.083333364129059,2.579430393749173,0.39528961333966683
14.95833335369825,2.994681966535013,0.5578351627374081
