estimator,overall_att,overall_acrt,overall_acrt_se,n_units
sp.cgs_continuous_did degree=1,1.0953181246360697,0.1914228573693669,0.015305550403330702,75.0
sp.cgs_continuous_did degree=2,1.0953181246360697,0.4205063269717043,0.06642909748038761,75.0
sp.cgs_continuous_did degree=3,1.0953181246360697,0.6357523517946889,0.1015157202905167,75.0
TWFE continuous slope (Table 2 col 1),,0.21356188250345934,0.058085989755566926,
TWFE binary: any connection x Post,0.9778307058443926,,0.2686220867453355,
"TWFE dose bin T1 [0.50,1.00] x Post vs unconnected",0.2739798232808812,,0.24661457622175623,
"TWFE dose bin T2 [1.33,2.33] x Post vs unconnected",1.5048113238144585,,0.4556335744910933,
"TWFE dose bin T3 [2.50,15.83] x Post vs unconnected",1.2077620498158717,,0.4929161978059191,
