col,sp_ar_stat,sp_ar_pvalue,sp_ar_ci,sp_first_stage_F,sp_effective_F,sp_tF_critical_value,manual_AR_t_at_0 (= Table 4 reduced form),manual_AR_p_at_0,manual_AR95_set,manual_AR95_bounded_in_grid,KP_F_stata,tF_critical_value,t_stat_2sls
4,3.433164345852558,0.06799765952663195,"(-0.08311473090904149, 3.3750643958629403)",749.4520607500892,11.496038648655503,1.96,2.2949851465476456,0.0246508094771539,"[0.06, 0.74]",True,11.684,2.8774,2.3938532830445705
5,2.949975404962129,0.09017738769674404,"(-inf, inf)",919.2669930892729,9.741266001418495,1.96,2.2577310484429,0.026995270068269767,"[0.05, 0.79]",True,,,
6,3.5677959198792597,0.06293823671907031,"(-0.057528768065568246, 21.881343829419215)",749.2492185255487,10.894574283038812,1.96,2.2980883598730117,0.024463894079784602,"[0.06, 0.78]",True,,,
