table,col,var,paper_coef,paper_se,paper_N,stata_coef,stata_se,stata_N,coef,se,N,abs_diff_coef_vs_stata,abs_diff_se_vs_stata,status
Table 2,1,Zeng_all0_invdist_Post,0.214,0.058,1125,0.214,0.058,1125,0.2135618825034593,0.05808598975556691,1125,0.0,0.0,✅
Table 2,2,Zeng_all0_invdist_Post,0.201,0.06,1125,0.201,0.06,1125,0.2008472682735857,0.05959634259673668,1125,0.0,0.0,✅
Table 2,3,Zeng_all0_invdist_Post,0.212,0.058,1125,0.212,0.058,1125,0.21247697212335084,0.05820979430286425,1125,0.0,0.0,✅
Table 2,4,Zeng_all0_invdist_Post,0.213,0.059,1125,0.213,0.059,1125,0.21313786205638147,0.05911713170770264,1125,0.0,0.0,✅
Table 2,5,Zeng_all0_invdist_pc_Post,0.061,0.022,1125,0.061,0.022,1125,0.06116233646214758,0.02183422121671964,1125,0.0,0.0,✅
Table 2,6,Zeng_all0_invdist_pc_Post,0.056,0.023,1125,0.056,0.023,1125,0.055768917991744854,0.02316220306685296,1125,0.0,0.0,✅
Table 2,7,Zeng_all0_Post,0.146,0.042,1125,0.146,0.042,1125,0.14598945467945607,0.042075533067277446,1125,0.0,0.0,✅
Table 2,8,Zeng_all0_Post,0.147,0.042,1125,0.147,0.042,1125,0.14699599167001848,0.04180958721887912,1125,0.0,0.0,✅
Table 2,9,Zeng_all0_pc_Post,0.047,0.017,1125,0.047,0.017,1125,0.04718825681488382,0.017178613163022032,1125,0.0,0.0,✅
Table 2,10,Zeng_all0_pc_Post,0.044,0.017,1125,0.044,0.017,1125,0.044103359275584585,0.016977168566706037,1125,0.0,0.0,✅
