table,col,var,paper_coef,paper_se,paper_N,stata_coef,stata_se,stata_N,coef,se,N,abs_diff_coef_vs_stata,abs_diff_se_vs_stata,status
Table 4,11,invdist0_L1_Post,0.106,0.097,1995,0.106,0.097,1995,0.1076157925830659,0.0946961366550744,1995,0.0020000000000000018,0.0020000000000000018,❌
Table 4,11,invdist0_F1_Post,-0.115,0.106,1995,-0.115,0.106,1995,-0.11994826692896379,0.10175295744985126,1995,0.0049999999999999906,0.0040000000000000036,❌
Table 5,1,Zeng_all0_invdistXperiod,0.053,0.005,6825,0.053,0.005,6825,0.053127957108373994,0.004501084611115463,6825,0.0,0.0,✅
Table 5,2,Zeng_all0_invdistXperiod,0.054,0.005,6825,0.054,0.005,6825,0.054137862949907335,0.005285646214279601,6825,0.0,0.0,✅
Table 5,3,Zeng_all0_invdistXperiod,0.009,0.012,142961,0.009,0.012,142961,0.008984587337936077,0.01165929387115081,142961,0.0,0.0,✅
Table 5,4,Zeng_all0_invdistXperiod,0.011,0.011,142961,0.011,0.011,142961,0.010972551234951144,0.011213104770437935,142961,0.0,0.0,✅
Table 5,5,hXZeng_all0_invdistXperiod,0.044,0.012,149786,0.044,0.012,149786,0.04414336977043776,0.012435658334524723,149786,0.0,0.0,✅
Table 5,5,Zeng_all0_invdistXperiod,0.009,0.012,149786,0.009,0.012,149786,0.008984587337935626,0.011657768032554682,149786,0.0,0.0,✅
Table 5,5,hunanXperiod,0.094,0.058,149786,0.094,0.058,149786,0.09436567360987037,0.05808354672741489,149786,0.0,0.0,✅
Table 5,6,hXZeng_all0_invdistXperiod,0.049,0.013,149786,0.049,0.013,149786,0.04907478057224564,0.01266096707224042,149786,0.0,0.0,✅
Table 5,6,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010929054935182796,0.011146179146942664,149786,0.0,0.0,✅
Table 5,6,hunanXperiod,0.082,0.063,149786,0.082,0.063,149786,0.08199124271725151,0.06327050109336346,149786,0.0,0.0,✅
Table 6,1,hXZeng_all0_invdistXperiod,0.049,0.013,149786,0.049,0.013,149786,0.04907478057224564,0.01266096707224042,149786,0.0,0.0,✅
Table 6,1,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010929054935182796,0.011146179146942664,149786,0.0,0.0,✅
Table 6,1,hunanXperiod,0.082,0.063,149786,0.082,0.063,149786,0.08199124271725151,0.06327050109336346,149786,0.0,0.0,✅
Table 6,2,Zeng_all0_invdistXperiod,0.01,0.011,149786,0.01,0.011,149786,0.009875890234671478,0.010703292068572545,149786,0.0,0.0,✅
Table 6,2,hunanXperiod,-0.018,0.029,149786,-0.018,0.029,149786,-0.018138141430460327,0.028523591835251737,149786,0.0,0.0,✅
Table 6,2,martyrs_tot_postXperiod,0.421,0.091,149786,0.421,0.091,149786,0.42063024118801257,0.09135652877063137,149786,0.0,0.0,✅
Table 6,3,hXZeng_all0_invdistXperiod,-0.011,0.015,149786,-0.011,0.015,149786,-0.011296609314218706,0.015266643189686274,149786,0.0,0.0,✅
Table 6,3,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010573813456960995,0.011199563813720382,149786,0.0,0.0,✅
Table 6,3,hunanXperiod,-0.008,0.032,149786,-0.008,0.032,149786,-0.0077584272913866,0.031527061435417794,149786,0.0,0.0,✅
Table 6,3,martyrs_tot_postXperiod,0.427,0.097,149786,0.427,0.097,149786,0.42706844657326476,0.0968237152649341,149786,0.0,0.0,✅
Table 6,4,hunanXperiod,-0.02,0.04,149786,-0.02,0.04,149786,-0.02012634243328,0.03951181528409224,149786,0.0,0.0,✅
Table 6,4,martyrs_tot_postXperiod,0.383,0.077,149786,0.383,0.077,149786,0.38313753465468814,0.07745507329448893,149786,0.0,0.0,✅
Table 6,4,Zeng_exam0_invdistXperiod,0.006,0.02,149786,0.006,0.02,149786,0.005580092195521427,0.019989333685946714,149786,0.0,0.0,✅
Table 6,4,Zeng_Extraexam_invdistXperiod,0.022,0.03,149786,0.022,0.03,149786,0.021935479812068663,0.02992916217383757,149786,0.0,0.0,✅
Table 6,5,hunanXperiod,-0.024,0.038,149786,-0.024,0.038,149786,-0.023679219087776388,0.038189553405314394,149786,0.0,0.0,✅
Table 6,5,martyrs_tot_postXperiod,0.387,0.093,149786,0.387,0.093,149786,0.3873619226829443,0.09261370964279743,149786,0.0,0.0,✅
Table 6,5,Zeng_exam0_invdistXperiod,0.007,0.022,149786,0.007,0.022,149786,0.006858658468069338,0.022051440456288228,149786,0.0,0.0,✅
Table 6,5,Zeng_Extraexam_invdistXperiod,0.019,0.04,149786,0.019,0.04,149786,0.019162066299261905,0.04005408920295331,149786,0.0,0.0,✅
Table 6,5,hXZeng_exam0_invdistXperiod,0.018,0.076,149786,0.018,0.076,149786,0.018064297699053784,0.0756782553479439,149786,0.0,0.0,✅
Table 6,6,hunanXperiod,-0.022,0.037,149786,-0.022,0.037,149786,-0.022128741920093117,0.037487052675358026,149786,0.0,0.0,✅
Table 6,6,martyrs_tot_postXperiod,0.368,0.044,149786,0.368,0.044,149786,0.3684163436939583,0.0443211964626819,149786,0.0,0.0,✅
Table 6,6,Zeng_exam0_invdistXperiod,0.007,0.022,149786,0.007,0.022,149786,0.006867854223863635,0.022070798522182956,149786,0.0,0.0,✅
Table 6,6,Zeng_Extraexam_invdistXperiod,0.019,0.04,149786,0.019,0.04,149786,0.01918620492738088,0.039962358664602515,149786,0.0,0.0,✅
Table 6,6,hXZeng_Extraexam_invdistXperiod,0.008,0.035,149786,0.008,0.035,149786,0.008442272719572572,0.03524032916815359,149786,0.0,0.0,✅
