year,gamaalloff,gamaalloff_NoConn,hXconnRole
1820.0,0.00911214308761761,0.00911214308761761,0.0
1821.0,0.011634430885076317,0.011740939042950933,-0.00010650815787461611
1822.0,0.012747721088163359,0.012471014207172823,0.00027670688099053556
1823.0,0.013310787709246473,0.01320169853458393,0.00010908917466254282
1824.0,0.013101296081346329,0.013272350529001747,-0.0001710544476554183
1825.0,0.011017759393247954,0.011420158238269579,-0.0004023988450216256
1826.0,0.011523139865777158,0.011626770318411965,-0.00010363045263480676
1827.0,0.005594491721823247,0.005375614140154498,0.0002188775816687489
1828.0,0.00231459681501433,0.002842627665443369,-0.0005280308504290393
1829.0,0.006430685198330373,0.006924011424324786,-0.000493326225994413
1830.0,0.006187255331232913,0.006009297904688698,0.0001779574265442143
1831.0,0.005267590410524557,0.005143268723775427,0.00012432168674912994
1832.0,0.011188692348059262,0.011563637446425077,-0.0003749450983658153
1833.0,0.02121588106541566,0.02127764997834798,-6.176891293232026e-05
1834.0,0.018655700147765568,0.018692457953209625,-3.6757805444057046e-05
1835.0,0.01217611331775849,0.01209793239755124,7.818092020724955e-05
1836.0,0.016878921850122474,0.017051995299119427,-0.00017307344899695348
1837.0,0.008170708952787376,0.00832105353304557,-0.0001503445802581941
1838.0,0.007535260974057326,0.007948256361055374,-0.0004129953869980475
1839.0,0.003489885411013291,0.0035611361395443144,-7.12507285310234e-05
1840.0,0.007815219808924809,0.007826748268111344,-1.1528459186534515e-05
1841.0,0.007552844719734788,0.007752313768906974,-0.00019946904917218615
1842.0,0.009908823558985595,0.010543351674828746,-0.0006345281158431516
1843.0,0.010348512333080146,0.010448018656890101,-9.950632380995549e-05
1844.0,0.023311464357187492,0.02348558055378359,-0.00017411619659609898
1845.0,0.015403977961143891,0.01582449745554005,-0.00042051949439615884
1846.0,0.010382115796083221,0.010687466675249302,-0.0003053508791660813
1847.0,0.013267183311634295,0.013842392381143251,-0.000575209069508956
1848.0,0.022371948580189826,0.023289257849111032,-0.0009173092689212063
1849.0,0.019386459128979384,0.019390706961828572,-4.24783284918781e-06
1850.0,0.03407608089906529,0.03595775831065074,-0.0018816774115854515
1851.0,0.003741919663559171,0.003730178122847025,1.1741540712146073e-05
1852.0,0.007323749113271708,0.0069049657531691485,0.0004187833601025596
1853.0,0.008814818072454773,0.008085169401273287,0.0007296486711814865
1854.0,0.016578183997378544,0.01656827959475712,9.904402621423863e-06
1855.0,0.013323933404822259,0.012922467831343607,0.0004014655734786519
1856.0,0.032187809144995576,0.03347370040966389,-0.0012858912646683124
1857.0,0.007474248902215643,0.005891940414359459,0.0015823084878561836
1858.0,0.02322328275216679,0.024213077848180557,-0.000989795096013768
1859.0,0.0024023875817932726,0.0017434637923170355,0.000658923789476237
1860.0,0.01511957247444964,0.015011599860835025,0.0001079726136146153
1861.0,0.019637389444506798,0.00982101889729745,0.009816370547209347
1862.0,0.02438282033792409,0.012012652086940875,0.012370168250983216
1863.0,0.0289575244156499,0.012042911409562717,0.01691461300608718
1864.0,0.0234973775332347,0.006590924916998499,0.0169064526162362
1865.0,0.038406480387111294,0.015950316425334794,0.0224561639617765
1866.0,0.045979093267841505,0.017224263715602046,0.028754829552239458
1867.0,0.028690468257878927,0.016330002897460786,0.01236046536041814
1868.0,0.03091030515347536,0.014852558761241148,0.01605774639223421
1869.0,0.033909488724875314,0.020723415515738555,0.01318607320913676
1870.0,0.018157361342701087,0.013623507472079022,0.004533853870622065
1871.0,0.0211173968489614,0.01755302887453656,0.0035643679744248417
1872.0,0.02978026139601259,0.023560974509664465,0.006219286886348124
1873.0,0.0137052885611979,0.010771765540664505,0.002933523020533395
1874.0,0.029862608726699727,0.02410150491935803,0.005761103807341697
1875.0,0.02720593152264023,0.019073156026572797,0.008132775496067432
1876.0,0.024060847702205082,0.021603345973561377,0.0024575017286437052
1877.0,0.02553722895061938,0.01915549822025871,0.00638173073036067
1878.0,0.03961618145322919,0.027048748223464265,0.012567433229764925
1879.0,0.032615844582491074,0.02971901881176959,0.0028968257707214853
1880.0,0.05023841726822076,0.03804181347989758,0.012196603788323178
1881.0,0.03659137102953724,0.02045205531712364,0.016139315712413598
1882.0,0.030128105595820312,0.022976115504657908,0.0071519900911624044
1883.0,0.03826239402447708,0.02817224226930732,0.010090151755169759
1884.0,0.034604501381668686,0.018942455780725363,0.015662045600943322
1885.0,0.02359335701273961,0.013267737179126531,0.010325619833613079
1886.0,0.02653901629510667,0.017312148178804252,0.009226868116302418
1887.0,0.0465510427105726,0.028839933909595716,0.017711108800976885
1888.0,0.03411600487261997,0.022866238477597396,0.011249766395022572
1889.0,0.03727245198893859,0.032263432768512686,0.005009019220425903
1890.0,0.05223043740185495,0.04737289057089569,0.004857546830959257
1891.0,0.03303181604930916,0.030074764355910805,0.002957051693398355
1892.0,0.045698761533886724,0.041465338158350094,0.00423342337553663
1893.0,0.027271543658282035,0.020334152442284602,0.006937391215997433
1894.0,0.02272511859424118,0.019818337543812244,0.002906781050428936
1895.0,0.035407477668597975,0.028323974898858857,0.007083502769739118
1896.0,0.023893430826233318,0.019102649969875853,0.0047907808563574655
1897.0,0.014942619218819779,0.013648502324464601,0.0012941168943551781
1898.0,0.018945440867146186,0.019803320829877433,-0.0008578799627312478
1899.0,0.01800419455085801,0.015486928123581432,0.0025172664272765776
1900.0,0.02026359691310334,0.0207417473903197,-0.0004781504772163603
1901.0,0.020494230500183102,0.02061993613710066,-0.00012570563691755715
1902.0,0.02387668274180271,0.021580906739484356,0.002295776002318353
