table,col,var,paper_coef,paper_se,paper_N,stata_coef,stata_se,stata_N,coef,se,N,abs_diff_coef_vs_stata,abs_diff_se_vs_stata,status
Table 6,1,hXZeng_all0_invdistXperiod,0.049,0.013,149786,0.049,0.013,149786,0.049074780572250065,0.012660967072240814,149786,0.0,0.0,✅
Table 6,1,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010929054935177538,0.011146179146941876,149786,0.0,0.0,✅
Table 6,1,hunanXperiod,0.082,0.063,149786,0.082,0.063,149786,0.08199124271725784,0.06327050109335923,149786,0.0,0.0,✅
Table 6,2,Zeng_all0_invdistXperiod,0.01,0.011,149786,0.01,0.011,149786,0.009875890234667268,0.0107032920685715,149786,0.0,0.0,✅
Table 6,2,hunanXperiod,-0.018,0.029,149786,-0.018,0.029,149786,-0.018138141430456094,0.028523591835250956,149786,0.0,0.0,✅
Table 6,2,martyrs_tot_postXperiod,0.421,0.091,149786,0.421,0.091,149786,0.4206302411880081,0.09135652877063119,149786,0.0,0.0,✅
Table 6,3,hXZeng_all0_invdistXperiod,-0.011,0.015,149786,-0.011,0.015,149786,-0.011296609314189876,0.01526664318969222,149786,0.0,0.0,✅
Table 6,3,Zeng_all0_invdistXperiod,0.011,0.011,149786,0.011,0.011,149786,0.010573813456955712,0.01119956381371943,149786,0.0,0.0,✅
Table 6,3,hunanXperiod,-0.008,0.032,149786,-0.008,0.032,149786,-0.007758427291344486,0.03152706143540568,149786,0.0,0.0,✅
Table 6,3,martyrs_tot_postXperiod,0.427,0.097,149786,0.427,0.097,149786,0.42706844657305776,0.09682371526500974,149786,0.0,0.0,✅
Table 6,4,hunanXperiod,-0.02,0.04,149786,-0.02,0.04,149786,-0.02012634243328,0.03951181528409224,149786,0.0,0.0,✅
Table 6,4,martyrs_tot_postXperiod,0.383,0.077,149786,0.383,0.077,149786,0.38313753465468814,0.07745507329448893,149786,0.0,0.0,✅
Table 6,4,Zeng_exam0_invdistXperiod,0.006,0.02,149786,0.006,0.02,149786,0.005580092195521427,0.019989333685946714,149786,0.0,0.0,✅
Table 6,4,Zeng_Extraexam_invdistXperiod,0.022,0.03,149786,0.022,0.03,149786,0.021935479812068663,0.02992916217383757,149786,0.0,0.0,✅
Table 6,5,hunanXperiod,-0.024,0.038,149786,-0.024,0.038,149786,-0.023679219087776388,0.038189553405314394,149786,0.0,0.0,✅
Table 6,5,martyrs_tot_postXperiod,0.387,0.093,149786,0.387,0.093,149786,0.3873619226829443,0.09261370964279743,149786,0.0,0.0,✅
Table 6,5,Zeng_exam0_invdistXperiod,0.007,0.022,149786,0.007,0.022,149786,0.006858658468069338,0.022051440456288228,149786,0.0,0.0,✅
Table 6,5,Zeng_Extraexam_invdistXperiod,0.019,0.04,149786,0.019,0.04,149786,0.019162066299261905,0.04005408920295331,149786,0.0,0.0,✅
Table 6,5,hXZeng_exam0_invdistXperiod,0.018,0.076,149786,0.018,0.076,149786,0.018064297699053784,0.0756782553479439,149786,0.0,0.0,✅
Table 6,6,hunanXperiod,-0.022,0.037,149786,-0.022,0.037,149786,-0.022128741920093117,0.037487052675358026,149786,0.0,0.0,✅
Table 6,6,martyrs_tot_postXperiod,0.368,0.044,149786,0.368,0.044,149786,0.3684163436939583,0.0443211964626819,149786,0.0,0.0,✅
Table 6,6,Zeng_exam0_invdistXperiod,0.007,0.022,149786,0.007,0.022,149786,0.006867854223863635,0.022070798522182956,149786,0.0,0.0,✅
Table 6,6,Zeng_Extraexam_invdistXperiod,0.019,0.04,149786,0.019,0.04,149786,0.01918620492738088,0.039962358664602515,149786,0.0,0.0,✅
Table 6,6,hXZeng_Extraexam_invdistXperiod,0.008,0.035,149786,0.008,0.035,149786,0.008442272719572572,0.03524032916815359,149786,0.0,0.0,✅
