regression,var,n_clusters,coef,cluster_se,cluster_p_tG1,wild_weights,sp_hdfe_ols_wild_p,sp_hdfe_ols_wild_ci_low,sp_hdfe_ols_wild_ci_high,corrected_wcr_p,stata_boottest_p
"Table 2 (1), cluster=prefecture",Zeng_all0_invdist_Post,15,0.2135618825034593,0.03312099962227244,1.527890592826661e-05,rademacher,0.27725545109021804,-0.05844005259696766,0.4853056077282984,0.31493149314931496,0.3028
"Table 2 (1), cluster=prefecture",Zeng_all0_invdist_Post,15,0.2135618825034593,0.03312099962227244,1.527890592826661e-05,webb,0.20964192838567713,-0.0872753175546152,0.5086576097340088,0.3063306330633063,0.3054
"Table 2 (4), cluster=prefecture",Zeng_all0_invdist_Post,15,0.2131378620563814,0.04408457555089225,0.00026472090788463815,rademacher,0.04040808161632326,0.008975813725758702,0.4156610737375207,0.0481048104810481,
"Table 2 (4), cluster=prefecture",Zeng_all0_invdist_Post,15,0.2131378620563814,0.04408457555089225,0.00026472090788463815,webb,0.03920784156831366,0.01086759206484686,0.4182563040211128,0.0484048404840484,0.0464
"Table 5 (1) Hunan DD, cluster=prefecture",Zeng_all0_invdistXperiod,15,0.053127957108373994,0.004501084611115463,1.1559615783581223e-08,rademacher,0.07141428285657131,-0.0058775841451099015,0.10944420051810352,0.1634163416341634,
"Table 5 (1) Hunan DD, cluster=prefecture",Zeng_all0_invdistXperiod,15,0.053127957108373994,0.004501084611115463,1.1559615783581223e-08,webb,0.045209041808361675,-9.638305452898399e-06,0.10418793963103784,0.22612261226122612,0.2182
"Table 5 (2) Hunan DD+controls, cluster=prefecture",Zeng_all0_invdistXperiod,15,0.054137862949907335,0.005285646214279601,6.937523592590726e-08,rademacher,0.008401680336067214,0.011195013085872174,0.09688881784610341,0.011801180118011801,
"Table 5 (2) Hunan DD+controls, cluster=prefecture",Zeng_all0_invdistXperiod,15,0.054137862949907335,0.005285646214279601,6.937523592590726e-08,webb,0.010002000400080016,0.011546627528865067,0.09558979943210288,0.011801180118011801,
