outcome,model,coef,se,pct_effect,p
soldier deaths (count),"FE Poisson, no controls",0.28497434431758395,0.15771842502957192,32.97279126068216,0.07078487123705103
1[soldier deaths>0],"LPM, no controls",0.03420755351122057,0.009871755672836411,,0.000885241660083704
ln(1+deaths) (paper),"OLS, no controls",0.21356188250345934,0.058085989755566926,,0.00044501098589090203
soldier deaths (count),"FE Poisson, all controls",0.13759319880049115,0.08190665218790763,14.750864741808023,0.09298101764531397
1[soldier deaths>0],"LPM, all controls",0.021742559947519727,0.021183597076044912,,0.30805282581121995
ln(1+deaths) (paper),"OLS, all controls",0.2131378620563715,0.05911713170770053,,0.0005626691408992977
national offices (count),FE Poisson DDD (Table 5 col 6 spec),0.05908491129980977,0.09121725302020117,6.086531636882153,0.5171542073747384
