relative_time,att,se,ci_lower,ci_upper,pvalue,n_obs
-3,-0.017008120362491934,0.06300494765084269,-0.1404955486059751,0.10647930788099122,0.7871995169506755,24
-2,-0.013880783083778225,0.06878852109069689,-0.14870380697131802,0.12094224080376158,0.8400814972527382,24
-1,-0.04312629896776647,0.07212160716934483,-0.18448205152682812,0.09822945359129516,0.5498623420500968,24
0,0.295458593987181,0.07851960953459716,0.14156298721922272,0.44935420075513927,0.00016797871440956303,23
1,0.2687177330078787,0.06379944998444911,0.14367310880489395,0.3937623572108635,2.5321707122103324e-05,18
2,0.16380686294964764,0.10754320481285991,-0.04697394526557239,0.3745876711648677,0.1277155290779702,17
3,0.38758431151087425,0.2280159510519062,-0.059318740451509755,0.8344873634732582,0.08916624268911139,9
