relative_time,att,se,ci_lower,ci_upper,pvalue,cband_lower,cband_upper,crit_val_uniform
-9,0.02866736400283143,0.06296393673705322,-0.0947396843266513,0.15207441233231417,0.6488947559821027,-0.12697841730935272,0.18431314531501558,2.471983001351776
-8,-0.3664496251177501,0.24082117309015724,-0.8384504510891447,0.10555120085364456,0.1280925474373778,-0.9617554713622125,0.22885622112671228,2.471983001351776
-7,0.060252919225411414,0.11879217244939105,-0.1725754604206663,0.29308129887148915,0.6120054627147744,-0.233399311763132,0.35390515021395486,2.471983001351776
-6,0.010166928941616263,0.11921255693278025,-0.22348538915156374,0.2438192470347963,0.9320355764183581,-0.28452448534389735,0.30485834322712985,2.471983001351776
-5,-0.048057705749042785,0.12898351477122932,-0.3008607493000423,0.20474533780195675,0.7094551287784119,-0.36690276171812736,0.2707873502200418,2.471983001351776
-4,-0.005412855719572163,0.08482896641978278,-0.17167457474810408,0.16084886330895973,0.9491222724654305,-0.21510861873151582,0.20428290729237147,2.471983001351776
-3,-0.04496000836584947,0.08672491382203983,-0.21493771601938744,0.12501769928768852,0.6041646317467433,-0.25934252112762957,0.16942250439593065,2.471983001351776
-2,-0.014166442617924203,0.09005416015320679,-0.19066935317621156,0.16233646794036313,0.8750003410108443,-0.23677879571766183,0.2084459104818134,2.471983001351776
0,0.3880367138032641,0.1070224217224372,0.17827662168903005,0.5977968059174982,0.00028812224553433367,0.12347910654189831,0.6525943210646299,2.471983001351776
1,0.33987743829922346,0.11188828873674515,0.12058042208338438,0.5591744545150625,0.0023843086201254297,0.06329149049165006,0.6164633861067969,2.471983001351776
2,0.18159726194121917,0.10853343999618767,-0.0311243715695477,0.39431889545198606,0.09428954389191883,-0.08669555680758972,0.44989008069002806,2.471983001351776
3,0.545078048702948,0.2510031903705257,0.05312083557206665,1.0370352618338292,0.02988599124503455,-0.07539757117805534,1.1655536685839514,2.471983001351776
