year,coef,se,ci_lo,ci_hi,N
2006,-0.6181605762131078,0.14058701294818382,-0.8937111215915481,-0.34261003083466757,1144507
2007,-0.9915177916943484,0.04150584364037022,-1.072869245229474,-0.9101663381592228,1144507
2008,-1.0236716180973862,0.04963291952353637,-1.1209521403635174,-0.9263910958312549,1144507
2009,-0.8805305164503464,0.06652117615756484,-1.0109120217191734,-0.7501490111815193,1144507
2010,-0.9315516335140684,0.03902162922145686,-1.0080340267881238,-0.855069240240013,1144507
2011,-0.7726095517807398,0.06494015140552695,-0.8998922485355726,-0.6453268550259069,1144507
2012,-0.8735654491480128,0.06290954108859072,-0.9968681496816506,-0.750262748614375,1144507
2013,-0.5933794961607494,0.0761209262667499,-0.7425765116435792,-0.44418248067791954,1144507
2014,-0.4435870643114037,0.04601657528151167,-0.5337795518631666,-0.3533945767596408,1144507
2015,-0.37370255814858766,0.05666588973799698,-0.48476770203506175,-0.26263741426211357,1144507
2016,-0.07450158046432923,0.09281637127669337,-0.25642166816664824,0.10741850723798979,1144507
