group,time,att,se,ci_lower,ci_upper,pvalue,relative_time
2013,2005,0.0,inf,-inf,inf,1.0,-8
2013,2006,0.16804236460776723,0.1460887652035775,-0.11828635373717294,0.4543710829527074,0.25003031360694417,-7
2013,2007,0.10726263716470463,0.13980352077687117,-0.16674722846986,0.3812725027992693,0.44293975350955794,-6
2013,2008,-0.05255493170079173,0.15960436353450416,-0.3653737360038578,0.26026387260227435,0.741942132986575,-5
2013,2009,-0.013633585763836775,0.09085883689719035,-0.19171363375952885,0.1644464622318553,0.8807232807072042,-4
2013,2010,-0.053200291155217294,0.09427238782244093,-0.2379707760237939,0.13157019371335932,0.5725327835095608,-3
2013,2011,-0.0224910873794969,0.13874382570933755,-0.2944239888471009,0.24944181408810712,0.8712230580968674,-2
2013,2013,0.4750783325809885,0.11622894710249182,0.2472737822990935,0.7028828828628836,4.361677551356773e-05,0
2013,2014,0.45065449011723957,0.12260778432118788,0.21034764862345662,0.6909613316110226,0.0002373114026159559,1
2013,2015,0.193625921358081,0.11494421256686763,-0.03166059550429584,0.4189124382204578,0.09208105563367129,2
2013,2016,0.545078048702948,0.24194522108928235,0.07087412913637381,1.0192819682695222,0.024265543472290447,3
2014,2005,0.0,inf,-inf,inf,1.0,-9
2014,2006,-0.4221713176651801,0.28152808700710363,-0.973956228835562,0.12961359350520174,0.13372559873231524,-8
2014,2007,-0.12287483411812361,0.21872489219631605,-0.551567745345309,0.3058180771090618,0.5742672779940634,-7
2014,2008,-0.18487686595122044,0.17010046950486093,-0.5182676599341016,0.14851392803166075,0.27709486739242406,-6
2014,2009,-0.043530641501852596,0.1969510287871173,-0.4295475646427139,0.3424862816390087,0.8250747842738779,-5
2014,2010,-0.07167361244697878,0.1536092356940153,-0.3727421820999733,0.22939495720601571,0.6407882156031369,-4
2014,2011,-0.1195507092514172,0.1422387245628393,-0.398333486601495,0.15923206809866058,0.40063180045407343,-3
2014,2012,-0.1078463552678266,0.046007518003601734,-0.19801943357296414,-0.01767327696268907,0.01907290975113189,-2
2014,2014,0.2139534762478154,0.17091302304280528,-0.1210298934049473,0.5489368459005781,0.21063303878446504,0
2014,2015,0.11832333466319139,0.1648981795964291,-0.20487115846202725,0.44151782778841003,0.47303238057017993,1
2014,2016,0.15753994310749558,0.20223560349179973,-0.23883455612815468,0.5539144423431459,0.4359843519569834,2
2015,2005,0.0,inf,-inf,inf,1.0,-10
2015,2006,0.0,inf,-inf,inf,1.0,-9
2015,2007,0.0,inf,-inf,inf,1.0,-8
2015,2008,0.0,inf,-inf,inf,1.0,-7
2015,2009,0.0,inf,-inf,inf,1.0,-6
2015,2010,0.0,inf,-inf,inf,1.0,-5
2015,2011,0.0,inf,-inf,inf,1.0,-4
2015,2012,0.0,inf,-inf,inf,1.0,-3
2015,2013,0.0,inf,-inf,inf,1.0,-2
2015,2015,0.0,inf,-inf,inf,1.0,0
2015,2016,0.0,inf,-inf,inf,1.0,1
2016,2005,0.0,inf,-inf,inf,1.0,-11
2016,2006,0.0,inf,-inf,inf,1.0,-10
2016,2007,0.02866736400283143,0.06014207196210062,-0.08920893099850197,0.14654365900416483,0.6336037298583751,-9
2016,2008,-0.1714237012017451,0.20903298596981953,-0.5811208252834579,0.2382734228799676,0.4121706935565852,-8
2016,2009,-0.05332606174870669,0.11219764642480837,-0.27322940789149025,0.16657728439407687,0.6345825573092294,-7
2016,2010,0.013150253504926157,0.13528623675375923,-0.2520058981364009,0.2783064051462532,0.9225650363788852,-6
2016,2011,-0.03242184895196576,0.1426002861143506,-0.3119132739212001,0.2470695760172686,0.8201424695257921,-5
2016,2012,0.28404490313620334,0.11509717044919666,0.05845859433331008,0.5096312119390967,0.01359195095783029,-4
2016,2013,0.2737894242592124,0.055818877215929416,0.1643864352585273,0.38319241325989745,9.344583224353295e-07,-3
2016,2014,0.37198576498774316,0.08671470524360211,0.20202806578027643,0.5419434641952099,1.7886174385570794e-05,-2
2016,2016,0.0,inf,-inf,inf,1.0,0
