relative_time,att,se,ci_lower,ci_upper,pvalue,n_cohorts
-10,-0.37609154066304096,0.2223554896256108,-0.8119002920940077,0.059717210767925855,0.0907608910910977,2
-9,-0.13238692566037286,0.18964630418800144,-0.5040868516699832,0.23931300034923758,0.4851316704591263,2
-8,-0.27144759463331897,0.21644123946140842,-0.6956646287468891,0.15276943948025107,0.2097911596066483,3
-7,0.07275687613151277,0.13067484434836638,-0.18336111247666276,0.3288748647396883,0.5776791291366432,4
-6,0.010643272332913296,0.11518592359842435,-0.21511698944598073,0.2364035341118073,0.9263795980218416,4
-5,-0.053535113968962766,0.11744146950029444,-0.2837161644809991,0.17664593654307356,0.6485013974227032,4
-4,-0.002207981311498134,0.0828987551959515,-0.16468655585876574,0.16027059323576948,0.9787511172885053,4
-3,-0.03787903647796874,0.0876949093988638,-0.20975790052724486,0.1339998275713074,0.6657842152298578,4
-2,-0.011264873506454352,0.09210609830097684,-0.19178950893287483,0.1692597619199661,0.9026588724734397,4
0,0.3604859985834963,0.10244642533231423,0.15969469458728855,0.561277302579704,0.00043354297979036324,4
1,0.29876965837766145,0.11718802190441091,0.0690853560255251,0.5284539607297978,0.010788068832247578,3
2,0.15198546180708344,0.11960317396253778,-0.08243245159616935,0.38640337521033624,0.20381840945080842,2
3,0.4269876754182435,0.27522176707739954,-0.11243707581493118,0.9664124266514182,0.12079834911046114,1
