relative_time,att,se
-7,0.25540483835941213,0.1672564847307346
-6,-0.11795234486901907,0.07961642387103965
-5,-0.1501061733792325,0.06985633540613218
-4,-0.0069650697845515235,0.08117676487161343
-3,-0.05798618854533628,0.06992396654857246
-2,0.1009558945817053,0.07994573196618454
-1,0.0,0.0
0,0.2801859485037498,0.08621174173445809
1,0.4299783784728535,0.08006117802166351
2,0.4998628836205035,0.08837784482115406
3,0.7990638553549676,0.12992131786821853
