exhibit,var,coef,wcb_se,p_wcb,ci_lo,ci_hi,N
Table V col 3,princeling,-0.8439756064836049,0.032570367959310356,0.0,-0.9208512044095916,-0.7689099218302896,191896
Table X col 2,princeling,-0.9200641794810784,0.03942809537591992,0.0,-1.0084371964502779,-0.8281867328023687,191896
Table X col 2,pp1,0.25700257865370035,0.058332135023985716,0.0,0.13391904444454758,0.3865788792471881,191896
Table X col 4,princeling,-0.8577395975506288,0.031618132434352436,0.0,-0.932388755328594,-0.7848421596217285,191896
Table X col 4,pp2,0.6952202176075476,0.13898811698116031,0.0,0.3805735579172429,0.9978672736750336,191896
Table X col 6,princeling,-0.8959195237236061,0.03525789554339129,0.0,-0.9797472667388542,-0.8142074253525281,191896
Table X col 6,pp3,0.5723981426519904,0.04990436167479821,0.0,0.4596827383126365,0.6914247698943434,191896
