figure,key,est,se
2,-4,   -0.000622214309,    0.000414025760
2,-3,   -0.001012810792,    0.000359314862
2,-2,   -0.002975307116,    0.000846636633
2,-1,   -0.013699476860,    0.002783029847
2,0,    0.015101440276,    0.002351360579
2,1,    0.001227399680,    0.001014337665
2,2,    0.001269218995,    0.000702517521
2,3,    0.002411765289,    0.000577327784
2,4,    0.000302315685,    0.000538691050
2,5,   -0.000313186219,    0.000792501140
2,6,    0.001139304864,    0.000564842385
2,7,    0.000091543500,    0.000638881401
2,8,   -0.001115531713,    0.000579125962
2,9,    0.000443428816,    0.000606441086
2,10,   -0.000108988553,    0.000398184956
2,11,    0.000376721372,    0.000646104411
2,12,   -0.000481696640,    0.000337100256
2,13,    0.000565016369,    0.000483139774
2,14,   -0.000327640680,    0.000432716353
2,15,    0.000180989871,    0.000444347647
2,16,   -0.000525924537,    0.000448076904
2,17,   -0.002712465334,    0.001865356938
3,excess_-3,    0.004081891420,    0.001887036469
3,excess_-2,    0.000057847219,    0.001218928122
3,excess_0,    0.024559954142,    0.003970017575
3,excess_1,    0.019826234927,    0.003162766312
3,excess_2,    0.020675509850,    0.003083314385
3,excess_3,    0.021885776134,    0.002534912840
3,excess_4,    0.016627007900,    0.002327501326
3,missing_-3,   -0.006468823554,    0.002418487647
3,missing_-2,   -0.002290395798,    0.001794582756
3,missing_0,   -0.022601299144,    0.003775353978
3,missing_1,   -0.019279850520,    0.003346044091
3,missing_2,   -0.018054453549,    0.004111690399
3,missing_3,   -0.018758318310,    0.004816401922
3,missing_4,   -0.012820314630,    0.003313874260
