col,spec,label,N,b_minus1,mwpc,n_events,below,below_se,above,above_se,wage,wage_se,emp,emp_se,elas_mw,elas_mw_se,elas_wage,elas_wage_se,wage_nospill,wage_nospill_se,spill_share,spill_share_se
1,1,TWFE,847314,0.08648194592435716,0.10129003140422747,138,-0.018302847091751628,0.00376835692271567,0.020714896788387543,0.0026081376833693437,0.06792556204529024,0.009785126329354901,0.02789078889073168,0.029337653914195287,0.02381329794449297,0.02504863868858934,0.4106081429570673,0.42971681425009245,0.0409692798865481,0.00933110035361457,0.39685033656061164,0.11888528955768879
2,4,ST,847314,0.08648194592435716,0.10129003140422747,138,-0.018171867084194278,0.0036184464447465647,0.018203661816558213,0.0027006894252212675,0.057384141803534384,0.010021033150347655,0.00036764589445924625,0.023089336400982517,0.0003138979416153035,0.019713793296112864,0.00640675076605576,0.40237140967708446,,,,
3,10,STQ,847314,0.08648194592435716,0.10129003140422747,138,-0.01770156926239168,0.0038287967556626125,0.01962752513098565,0.003335828762469576,0.06834338860966972,0.011991593275896238,0.022270033912957253,0.0214186695823023,0.01901426864908235,0.018287369436894095,0.3258549856248469,0.31332163358820353,,,,
4,5,DP,847314,0.08648194592435716,0.10129003140422747,138,-0.015721433880325854,0.002496649507937172,0.015587265758545691,0.002400024233431516,0.048559712115982395,0.009705242885081707,-0.0015514003569891686,0.02118081610062378,-0.001324593545091605,0.01808428892007025,-0.03194830219099586,0.4393488351840607,,,,
5,6,ST_DP,847314,0.08648194592435716,0.10129003140422747,138,-0.015843493565851883,0.0024175707943700953,0.014182266006735056,0.0025062259106824335,0.04278220481466189,0.010405897401774986,-0.01920895212706997,0.02135773997600265,-0.016400701392689045,0.01823534742870706,-0.44899397331871194,0.5735738686510751,,,,
6,11,STQ_DP,847314,0.08648194592435716,0.10129003140422747,138,-0.015145408789146959,0.0024212510687469883,0.015131119123338702,0.0027674372292192115,0.049738572829203485,0.011287541519357704,-0.0001652329356783291,0.022623506276772114,-0.00014107672403840962,0.019316065157868424,-0.0033220280816202733,0.45535424973201566,,,,
