bin,est,se,lo,hi,running_sum
-4,-0.0006222143234657272,0.0004140262766475313,-0.0014337058256948885,0.00018927717876343403,-0.0006222143234657272
-3,-0.0010128107946072605,0.0003593162238806971,-0.0017170705934134267,-0.00030855099580109414,-0.0016350251180729876
-2,-0.0029753071776504906,0.0008466399127025128,-0.004634721406547415,-0.0013158929487535657,-0.004610332295723479
-1,-0.013699476959101268,0.0027830323459812523,-0.01915422035722452,-0.008244733560978013,-0.018309809254824748
0,0.015101440306960465,0.0023513605450181923,0.010492773638724808,0.019710106975196123,-0.0032083689478642832
1,0.0012273996494020604,0.0010143372792831536,-0.0007607014179929206,0.0032155007167970415,-0.0019809692984622228
2,0.0012692190508992634,0.0007025180578791244,-0.00010771634254382045,0.002646154444342347,-0.0007117502475629594
3,0.002411765351537955,0.0005773281254202457,0.0012802022257142737,0.0035433284773616364,0.0017000151039749957
4,0.00030231568875851647,0.0005386901136135031,-0.0007535169339239498,0.0013581483114409826,0.002002330792733512
5,-0.0003131862716894059,0.0007925017764966703,-0.0018664897536228796,0.0012401172102440676,0.0016891445210441064
6,0.0011393047532768654,0.0005648424989373978,3.221345535956571e-05,0.002246396051194165,0.0028284492743209716
7,9.15435145838823e-05,0.0006388821616336622,-0.0011606655222180956,0.0013437525513858603,0.002919992788904854
8,-0.001115531704872996,0.0005791256783742969,-0.002250618034486618,1.9554624740625954e-05,0.001804461084031858
9,0.00044342882710694754,0.0006064415608791558,-0.000745196632216198,0.0016320542864300932,0.0022478899111388053
10,-0.00010898852379120872,0.0003981851985369337,-0.0008894315129235988,0.0006714544653411813,0.0021389013873475966
11,0.0003767213640686023,0.0006461048014715413,-0.0008896440468156184,0.001643086774952823,0.0025156227514161987
12,-0.00048169661998434743,0.0003371004745144587,-0.0011424135500326866,0.00017902031006399168,0.002033926131431851
13,0.0005650163930206154,0.0004831400292042395,-0.0003819380642196941,0.0015119708502609249,0.0025989425244524666
14,-0.0003276406897468609,0.0004327166261208219,-0.0011757652769436718,0.00052048389744995,0.0022713018347056057
15,0.00018098984985198902,0.00044434792483393767,-0.0006899320828225288,0.0010519117825265067,0.0024522916845575947
16,-0.000525924518286679,0.00044807715614049193,-0.001404155744322043,0.0003523067077486852,0.0019263671662709159
17,-0.002712465441896342,0.0018653581469278773,-0.0063685674098749815,0.0009436365260822978,-0.000786098275625426
