M,ci_lower,ci_upper,rejects_zero,ci_lower_scaled,ci_upper_scaled
0.0,-0.005325,0.002414,False,-0.009298976285711668,0.00421553591618929
0.0005,-0.005825,0.002914,False,-0.010172119598924034,0.0050886792294016535
0.001,-0.006325,0.003414,False,-0.011045262912136396,0.0059618225426140165
0.002,-0.007325,0.004414,False,-0.012791549538561122,0.007708109169038744
0.005,-0.010325,0.007414,False,-0.018030409417835305,0.012946969048312922
