	(1)	(2)	(3)
VARIABLES	alloff_byavg	ZengConnected_byavg	NotZengConnected_byavg
			
hXZeng_all0_invdistXperiod	0.527***	0.847***	0.452***
	(0.136)	(0.280)	(0.135)
Zeng_all0_invdistXperiod	0.117	0.221	0.093
	(0.120)	(0.184)	(0.125)
hunanXperiod	0.880	0.079	1.067
	(0.679)	(0.746)	(0.705)
			
Observations	149,786	149,786	149,786
R-squared	0.384	0.228	0.327
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
