beta0,wald,p
-1.0,4.554706465229309,0.6020530841058978
-0.98,4.558612516452371,0.601533752156302
-0.96,4.562601265320886,0.6010035533329741
-0.94,4.566688690362348,0.6004603733733618
-0.92,4.570892272347217,0.5999019009317796
-0.9,4.575231139865091,0.5993256086984631
-0.88,4.579726232584896,0.5987287322641002
-0.86,4.5844004846346245,0.598108246427699
-0.84,4.589279030833932,0.5974608386111511
-0.82,4.5943894388148685,0.5967828790100771
-0.8,4.599761970373084,0.5960703870776691
-0.78,4.605429875646404,0.5953189939143066
-0.76,4.611429723916132,0.5945239001217153
-0.74,4.617801774888607,0.5936798286875757
-0.72,4.624590394143695,0.5927809725082875
-0.7,4.631844515926151,0.5918209362490858
-0.68,4.639618155398475,0.590792672410122
-0.66,4.6479709705742955,0.5896884117545838
-0.64,4.6569688710726425,0.5884995887057687
-0.62,4.666684665952284,0.5872167630170584
-0.6,4.67719873545834,0.5858295400596474
-0.58,4.6885997004734765,0.5843264935960661
-0.56,4.700985047287682,0.5826950971084497
-0.54,4.714461642057831,0.5809216728710276
-0.52,4.729146036437154,0.5789913723145508
-0.5,4.745164420024173,0.5768882072202595
-0.48,4.762652012790478,0.5745951593255618
-0.46,4.781751607345068,0.5720944064611655
-0.44,4.802610863551426,0.569367716627075
-0.42,4.825377825991562,0.5663970772906723
-0.4,4.850193984149164,0.5631656445194022
-0.38,4.87718404540046,0.5596591123860684
-0.36,4.906441485766711,0.5558676112825574
-0.34,4.938008966833832,0.5517882332568518
-0.32,4.971853002234675,0.5474282352669217
-0.3,5.007833039596152,0.5428088615669675
-0.28,5.045666672057706,0.5379695234792692
-0.26,5.084895272498025,0.5329717535183478
-0.24,5.124858009581592,0.5279019166026198
-0.22,5.16468644636487,0.5228711904788974
-0.2,5.203335201348599,0.5180110142347403
-0.18,5.239663657688238,0.5134623716647613
-0.16,5.272575963587105,0.509358291961125
-0.14,5.301209548112215,0.505800981896096
-0.12,5.325138783577518,0.5028376843695817
-0.1,5.344539729136105,0.5004416138632033
-0.08,5.360257426475027,0.49850471471602653
-0.06,5.373737428827258,0.49684664074749807
-0.04,5.38682293878723,0.4952398205047702
-0.02,5.4014599114921005,0.49344569504878266
0.0,5.419375582143466,0.49125431803890174
0.02,5.44179428440512,0.4885193849017272
0.04,5.469236112808854,0.4851827103033003
0.06,5.501422532406664,0.48128478898593896
0.08,5.537296792676884,0.4769603920372528
0.1,5.575155395154443,0.47242009697906817
0.12,5.612874609602947,0.4679206010438052
0.14,5.648200092898376,0.46372869813505757
0.16,5.6790514840503885,0.46008533504397897
0.18,5.70378592533903,0.45717631383303836
0.2,5.721372155555863,0.4551145153248163
0.22,5.73145006467681,0.45393544133526686
0.24,5.734280727384642,0.4536045878441535
0.26,5.730616852951787,0.45403285573845154
0.28,5.721535000007224,0.45509544896076615
0.3,5.708268029033656,0.4566503189379013
0.32,5.6920642859188195,0.4585535646355132
0.34,5.674085757241173,0.46067064160539706
0.36,5.655345868466351,0.4628833572783757
0.38,5.636680654281513,0.46509329644679875
0.4,5.618744353612451,0.4672225834828556
0.42,5.602020677925157,0.46921287823491886
0.44,5.586842627200578,0.4710233526098727
0.46,5.573415742473671,0.4726282008992867
0.48,5.5618415111364925,0.47401405461576973
0.5,5.552139056017292,0.4751775261165323
0.52,5.5442642211803035,0.47612299929828916
0.54,5.538125788202771,0.47686071523531737
0.56,5.533598912353994,0.4774051576032978
0.58,5.530536046111349,0.4777737189522381
0.6,5.528775685466845,0.47798561768479764
0.62,5.5281492798718155,0.47806103203681516
0.64,5.528486620165024,0.478020418082994
0.66,5.529619979106885,0.4778839816440318
0.68,5.531387236698451,0.477671277656769
0.7,5.533634182707683,0.4774009143555532
0.72,5.536216154063562,0.477090343134309
0.74,5.538999135610071,0.4767557180612775
0.76,5.541860428863987,0.47641181166694624
0.78,5.544688974212169,0.4760719758485287
0.8,5.5473853966302,0.47574813858440146
0.82,5.5498618327598725,0.47545082868735256
0.84,5.552041587360196,0.4751892221055066
0.86,5.5538586592148755,0.47497120435063567
0.88,5.555257170095061,0.47480344453586476
0.9,5.55619072497995,0.4746914772727756
0.92,5.556621727212679,0.4746397893315617
0.94,5.556520668380919,0.47465190853157213
0.96,5.555865409368807,0.4747304928124291
0.98,5.5546404660916195,0.47487741785385285
1.0,5.552836310862201,0.4750938619701265
1.02,5.550448698077122,0.4753803873124903
1.04,5.547478020925789,0.475737016674443
1.06,5.543928704098651,0.4761633054150364
1.08,5.539808635952892,0.47665840820163285
1.1,5.5351286423141985,0.47722114042470576
1.12,5.52990200298336,0.4778500342631008
1.14,5.524144011102782,0.4785433894771327
1.16,5.517871574783514,0.4792993190847853
1.18,5.511102859783437,0.4801157901359343
1.2,5.503856971561401,0.4809906598418624
1.22,5.496153674670963,0.48192170734770046
1.24,5.488013147210344,0.48290666145318484
1.26,5.479455767882527,0.483943224596026
1.28,5.470501933129954,0.4850290934138146
1.3,5.461171901782825,0.48616197619580437
1.32,5.451485664690443,0.48733960752608363
1.34,5.4414628368652265,0.4885597604076186
1.36,5.431122569769828,0.4898202561409688
1.38,5.420483481497881,0.4911189722145586
1.4,5.409563602735476,0.49245384844540985
1.42,5.398380336534796,0.4938228915911277
1.44,5.386950430088328,0.4952241786348507
1.46,5.375289956840383,0.49665585892741426
1.48,5.363414307428144,0.4981161553529152
1.5,5.351338188089247,0.49960336466744293
1.52,5.3390756253144795,0.5011158571448096
1.54,5.326639975659975,0.5026520756480091
1.56,5.31404393975468,0.5042105342317977
1.58,5.301299579657938,0.5057898163687284
1.6,5.288418338826715,0.5073885728795997
1.62,5.275411064053063,0.5090055196382708
1.64,5.2622880288179275,0.5106394351116095
1.66,5.2490589575872635,0.5122891577867064
1.68,5.235733050652794,0.5139535835291906
1.7,5.222319009175493,0.5156316629105968
1.72,5.2088250601566255,0.5173223985353654
1.74,5.19525898110236,0.5190248423937527
1.76,5.18162812419421,0.5207380932618635
1.78,5.1679394398208345,0.5224612941652615
1.8,5.1541994993504145,0.5241936299201453
1.82,5.140414517059973,0.5259343247619028
1.84,5.126590371156096,0.5276826400689432
1.86,5.112732623845852,0.5294378721869626
1.88,5.098846540431989,0.5311993503571368
1.9,5.084937107424125,0.5329664347496907
1.92,5.0710090496632,0.5347385146037784
1.94,5.057066846475488,0.5365150064722848
1.96,5.043114746871229,0.538295352570443
1.98,5.029156783816526,0.5400790192254579
2.0,5.0151967876078185,0.5418654954242992
