table,panel,outcome,unrest,column,event_time,term,coef,se
VII,A,ALL,event,3,5,base,2.0450716346249656,1.2227989672224684
VII,A,ALL,event,3,5,public security,5.960365519737994,2.1844032422503656
VII,A,ALL,event,3,6,base,3.26019783857297,1.3602190298357386
VII,A,ALL,event,3,6,public security,6.451066623640083,2.5228452850767256
VII,A,ALL,event,3,7,base,3.902380326518326,1.4308525740401963
VII,A,ALL,event,3,7,public security,8.31476179085536,3.6143606804853117
VII,A,ALL,event,3,8,base,6.311304634295677,1.6918809792860843
VII,A,ALL,event,3,8,public security,7.9628598621517925,2.4502517221274993
VII,A,ALL,event_hat_lasso,4,-8,base,1.5285183553970665,1.5406996378576538
VII,A,ALL,event_hat_lasso,4,-8,public security,0.22827166215858755,1.265732313013228
VII,A,ALL,event_hat_lasso,4,-7,base,1.0286240008001875,1.1482159161125425
VII,A,ALL,event_hat_lasso,4,-7,public security,0.24987877412011916,0.9241882852958578
VII,A,ALL,event_hat_lasso,4,-6,base,1.1564722658195625,0.9603319684332202
VII,A,ALL,event_hat_lasso,4,-6,public security,-0.07833588051022045,0.9537880814133771
VII,A,ALL,event_hat_lasso,4,-5,base,0.2308856684691898,0.5371771098183625
VII,A,ALL,event_hat_lasso,4,-5,public security,0.1776888463374776,0.5680490409755478
VII,A,ALL,event_hat_lasso,4,-4,base,-0.0812098050781055,0.47157865403915095
VII,A,ALL,event_hat_lasso,4,-4,public security,0.19559830263261102,0.5319652538643741
VII,A,ALL,event_hat_lasso,4,-3,base,-0.1833551854814124,0.3464508371685803
VII,A,ALL,event_hat_lasso,4,-3,public security,0.0852196611354152,0.4857427233013498
VII,A,ALL,event_hat_lasso,4,-2,base,-0.06406672334855909,0.1891594558001522
VII,A,ALL,event_hat_lasso,4,-2,public security,-0.7629228680876782,0.39671603671365985
VII,A,ALL,event_hat_lasso,4,0,base,0.1609065571509225,0.3474861947733892
VII,A,ALL,event_hat_lasso,4,0,public security,0.48805995033211996,0.3450457144625598
VII,A,ALL,event_hat_lasso,4,1,base,-0.707949045638875,0.8092740120983721
VII,A,ALL,event_hat_lasso,4,1,public security,2.5705124964723014,0.8912577619597685
VII,A,ALL,event_hat_lasso,4,2,base,-0.5863715622751116,0.9969784033815077
VII,A,ALL,event_hat_lasso,4,2,public security,3.299242386792127,0.972315773803911
VII,A,ALL,event_hat_lasso,4,3,base,-0.37478407210025927,1.1438237919275398
