variable,mean_treat,mean_control,weighted_mean_treat,weighted_mean_control,smd_raw,smd_weighted,variance_ratio_weighted,ks_stat_weighted,balanced
b_age,34.169721132255646,35.351089092292405,34.76176758686159,34.75951681775835,-0.08515500020431893,0.00016188290477008136,1.0469504986421427,0.029284599090191765,True
b_married,0.7828685258964143,0.7841584158415842,0.7825195000837941,0.7826231878517504,-0.0031288360458446274,-0.0002513663667834887,1.0003444448628094,0.00010368776795641188,True
b_edu,8.822709163346614,8.534653465346535,8.679905211503453,8.678325183955803,0.09986512755623399,0.0005491420950576008,0.9991593968971234,0.029085107712813696,True
b_children,2.9262948207171315,2.881188118811881,2.9059007522096816,2.903746911518191,0.02432957925921677,0.0011629839284873712,0.9000345074732448,0.03606410674509464,True
b_hhsize,4.97011952191235,4.9445544554455445,4.956821486864404,4.955592185040716,0.012014199745221756,0.0005779981282736658,0.9769593975519274,0.018976760426057837,True
asset_total_ppp0,380.7119978775541,383.36079398523464,381.4105569899204,381.6310770752041,-0.006811227959595321,-0.0005700779802092775,1.1562173068795851,0.04394361783106404,True
cons_total_ppp0,179.5999596755343,184.8178877141216,182.7719141634689,182.5361139205302,-0.039112869429261635,0.0017383560635982225,1.3713025342474272,0.06470423587047036,True
ent_wagelabor0,0.2649402390438247,0.24554455445544554,0.2558102039095516,0.2559027970156379,0.04445257794519506,-0.00021220327467382806,0.9997625626102293,9.259310608666915e-05,True
ent_ownfarm0,0.35258964143426297,0.36633663366336633,0.35853142576260294,0.35862216922166185,-0.028623405714409186,-0.00018921340760016077,0.9998884126623956,9.07434590582401e-05,True
ent_business0,0.1454183266932271,0.1603960396039604,0.15349346382131174,0.15354725631566654,-0.04158420887500234,-0.00014922116822623473,0.9997131963854532,5.379249435488731e-05,True
ent_nonagbusiness0,0.3784860557768924,0.3603960396039604,0.3697438770531429,0.36970396029834784,0.03744967787732918,8.268962830802881e-05,1.0000446325014043,3.991675479486645e-05,True
