row,column,stat,paper,Stata re-run,StatsPAI,abs diff Stata,abs diff StatsPAI,Stata,SP,MC
tobacco (usd),(3) female rec.,(SE/SD),0.34,0.34,0.3408572372082571,0.0,0.0,✅,✅,False
tobacco (usd),(4) monthly,(SE/SD),0.33,0.33,0.3333852074812606,0.0,0.0,✅,✅,False
tobacco (usd),(5) large,(SE/SD),0.3,0.3,0.3000255059147844,0.0,0.0,✅,✅,False
social expenditure (usd),(1) control mean,coef/value,4.36,4.36,4.355275730874492,0.0,0.0,✅,✅,False
social expenditure (usd),(2) treatment,coef/value,2.43,2.43,2.4272452260958244,0.0,0.0,✅,✅,False
social expenditure (usd),(3) female rec.,coef/value,-2.06,-2.06,-2.0583663763245665,0.0,0.0,✅,✅,False
social expenditure (usd),(4) monthly,coef/value,-0.52,-0.52,-0.5155081045477055,0.0,0.0,✅,✅,False
social expenditure (usd),(5) large,coef/value,0.62,0.62,0.622216703197654,0.0,0.0,✅,✅,False
social expenditure (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
social expenditure (usd),(1) control mean,(SE/SD),5.38,5.38,5.377052168064264,0.0,0.0,✅,✅,False
social expenditure (usd),(2) treatment,(SE/SD),0.48,0.48,0.4819766216572583,0.0,0.0,✅,✅,False
social expenditure (usd),(3) female rec.,(SE/SD),0.97,0.97,0.9671478609057004,0.0,0.0,✅,✅,False
social expenditure (usd),(4) monthly,(SE/SD),0.99,0.99,0.9925935140101466,0.0,0.0,✅,✅,False
social expenditure (usd),(5) large,(SE/SD),0.9,0.9,0.8952931297738782,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(1) control mean,coef/value,6.78,6.78,6.777540684699503,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(2) treatment,coef/value,2.58,2.58,2.5820862292367126,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(3) female rec.,coef/value,2.06,2.06,2.0620085515357784,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(4) monthly,coef/value,-1.34,-1.34,-1.336363787151014,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(5) large,coef/value,-0.29,-0.29,-0.2945616022610001,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(6) N,coef/value,940.0,940.0,940.0,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(1) control mean,(SE/SD),13.53,13.53,13.529637879697942,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(2) treatment,(SE/SD),0.99,0.99,0.9933622511056012,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(3) female rec.,(SE/SD),1.86,1.86,1.8588422151309905,0.0,0.0,✅,✅,False
medical expenditure past month (usd),(4) monthly,(SE/SD),1.86,1.86,1.859880749219464,0.0,0.0,✅,✅,False
