outcome,label,N,forest_ate,cate_mean,cate_sd,cate_baseline_asset_Q1,cate_baseline_asset_Q2,cate_baseline_asset_Q3,cate_baseline_asset_Q4
asset_total_ppp1,Value of non-land assets (USD),939,333.46874897034525,333.46874897034525,32.322371411314045,331.1190893861818,325.51240388944774,329.3181318632854,347.9077085420105
cons_nondurable_ppp1,Non-durable expenditure (USD),939,32.142164889673836,32.142164889673836,9.832845368495448,23.47254148154398,32.72843611645559,37.50561779616426,34.884887368388924
fs_hhfoodindexnew1,Food security index,939,0.2667433813557375,0.2667433813557375,0.1438171171954507,0.18262617172723433,0.25890849026392426,0.3316914415238366,0.2940237966320745
psy_index_z1,Psychological well-being index,1473,0.19046056120562577,0.19046056120562577,0.12019451778150414,0.1038620305219531,0.17718968442332766,0.23641019213221073,0.24461565983926076
