panel,outcome,label,control_mean,control_sd,N,treat_b,treat_se,treat_p,female_b,female_se,female_p,monthly_b,monthly_se,monthly_p,large_b,large_se,large_p,treat_joint_p,female_joint_p,monthly_joint_p,large_joint_p
A: Assets,asset_total_ppp1,Value of non-land assets (USD),494.8040906706853,415.3170721270962,940,301.5067627969699,27.24736111262057,0.0,-79.45712327716653,50.38302449969404,0.11511821023002877,-91.84645887942762,45.916806867345215,0.045757645163057914,279.18252780301873,49.09294395018032,1.7279000230630004e-08,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
A: Assets,asset_livestock_ppp1,Value of livestock (USD),166.8249756217257,240.58792496685166,940,83.17601583128572,15.22152618992683,5.95256233193453e-08,4.841815375987489,29.316959986378766,0.8688582599969905,0.08157781218700368,27.36259442328722,0.9976218536835557,63.45180637078115,28.511250876421496,0.026284460547075117,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
A: Assets,asset_durable_ppp1,Value of durable goods (USD),207.2961878654545,130.60036981667443,940,52.58658461014776,8.613288570150752,1.5000303221768263e-09,-0.23881048863676238,14.39704086831595,0.986769244071044,-7.309005302204095,14.156363494058418,0.6057627655012068,64.89656713084275,15.69502193358175,3.869811341261631e-05,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
A: Assets,asset_savings_ppp1,Value of savings (USD),10.928014164016064,29.08625208159068,940,10.097777577729802,2.463692053608424,4.515288835271747e-05,-3.308632310678234,5.0315868263141645,0.5109741297326877,1.858669009746572,4.574409112345016,0.6846008611259191,10.262318402860672,5.036346701802752,0.041864705448352746,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
A: Assets,asset_land_owned_total1,Land owned (acres),1.3059203837916795,1.883665318530458,940,0.040945708830233726,0.13511266045409345,0.7619199137408932,-0.0837742064030828,0.1750706611913307,0.6323940018807106,0.03719139113775557,0.1749356600275112,0.8316848028135844,0.3453789974487403,0.3171937191516606,0.27649577377869283,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
A: Assets,asset_niceroof1,Has non-thatched roof (dummy),0.16417910447761194,0.37083357520943966,940,0.2350849927034904,0.027830723026641208,0.0,-0.11498627591280888,0.049584599677224034,0.020609344214151726,-0.12475523335882809,0.04873485424217603,0.010626475667946389,0.22981771459065276,0.05076569794428501,6.750162268254201e-06,4.080369630872281e-28,0.2858099289545513,0.21807900070298483,4.7576462505461585e-09
B: Business activities,ent_wagelabor1,Wage labor primary income (dummy),0.16417910447761194,0.37083357520943966,940,0.00046678997985548094,0.02321452896212933,0.9839617570611918,0.015327781941614913,0.03864905619153879,0.6917608401182478,0.022113730786430856,0.03993288577390957,0.5798664444684669,0.007854525286931688,0.03853739690144547,0.8385417106040183,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
B: Business activities,ent_ownfarm1,Own farm  primary income (dummy),0.55863539445629,0.49708020697203287,940,-0.014898245746773446,0.030411280939793096,0.6243246985817374,-0.001549826938698895,0.049427201942559854,0.9749924942159394,-0.00024378047173900704,0.051663277736072606,0.9962360852515355,0.011647255505121665,0.04919952806232716,0.8129139312854003,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
B: Business activities,ent_nonagbusiness1,Non-agricultural business owner (dummy),0.32196162046908317,0.4677272639002981,940,0.013706942670572706,0.028883986616396382,0.6352169361034865,-0.023358493598024624,0.04960578588165012,0.6378340535632443,0.07942011228471581,0.050138142945999116,0.11352455787115057,0.014684751839930775,0.04726149578489131,0.7560879192542167,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
B: Business activities,ent_total_rev_ppp1,"Total revenue, monthly (USD)",48.98466614169924,90.5218235487813,940,16.152540392311675,5.879498460834381,0.00612452265450858,5.4098378096532915,10.609072844385521,0.6102234175997499,16.32814076515121,11.0737027340988,0.14068302153126977,-2.4436368732979115,8.869957571883008,0.7829958934300556,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
B: Business activities,ent_total_cost_ppp1,"Total expenses, monthly (USD)",23.954619800310525,61.71395613625446,940,12.528449615359703,4.214233730546674,0.0030254495172588047,5.419340196322389,7.451820530315532,0.4672537911214507,9.409875735583412,7.747407652042991,0.22483022067376313,-0.3452241916915155,6.231938298227407,0.9558348001784172,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
B: Business activities,ent_total_profit_ppp1,"Total profit, monthly (USD)",20.775276252765583,46.21641495605472,940,-0.21252187055413152,3.6772885054315556,0.9539257370344041,1.4052531880288694,6.676106035170338,0.8333309650839369,7.285545550475618,7.915010006116753,0.35756253724492604,-2.021837300202119,5.320956698513653,0.7040489532880936,0.00013489336752265334,0.8992902757279653,0.5856724868250924,0.9950170434232235
