outcome,label,c1_b,c1_se,c1_p,c2_b,c2_se,c2_p,c3_b,c3_se,c3_p,c4_b,c4_se,c4_p,c5_p,c6_p,c7_b,c7_se,c8_b,c8_se,lee_trim,c7_p,c8_p,sp_lee_lower,sp_lee_upper,c9_b,c9_se,c9_p,c10_b,c10_se,c10_p,c1_joint_p,c2_joint_p,c3_joint_p,c4_joint_p
asset_total_ppp1,Value of non-land assets (USD),0.9998601808474831,21.436720041948373,0.9628744988368707,-11.987200911585452,19.975137999857136,0.5495486230281292,-18.72857788940113,21.14137602520957,0.37742867344596753,-32.60568914794648,19.763493377751203,0.10155752013811492,0.005886070102584344,0.0035474056415309933,-3.3798083800346603,21.12398685243509,12.84185784161383,21.421320234737255,0.010548523206751037,0.8728821749146254,0.54884646993252,-3.3798083800346603,15.42633925787976,-2.384160074252111,19.91697991010125,0.9047435160513972,7.390131773073461,20.062745510588066,0.712697789650411,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
cons_nondurable_ppp1,Non-durable expenditure (USD),-7.768141490587756,7.199802847031754,0.2827438640973061,-11.885144024290438,6.5045741516554525,0.07011418923566448,-7.308354040286267,7.272583474058614,0.3169250661272387,-12.205568622143295,6.669590969914542,0.06968627899989532,0.8219439447232414,0.8799148071831018,-9.473233918691307,5.59035637955765,-4.078533353836008,5.872467453391901,0.010548523206751037,0.09015757536159608,0.4873575229821513,-9.473233918691307,-3.7629690449633415,-8.925722034140698,5.786937903454745,0.12332852257405791,-5.864021422462848,5.825973308050853,0.31442965010575125,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
ent_total_rev_ppp1,"Total revenue, monthly (USD)",-3.6767548689509173,6.179157006535723,0.552928598860035,-3.642962967006154,6.346605303922812,0.5670233277048471,-5.23482749430896,5.844658627573746,0.37219812542709474,-5.778183095496777,6.012754350156525,0.3384591006788862,0.5576359551725759,0.45413623438889783,-4.2932491162002435,6.044699296978944,2.3184262441236925,6.37337905680779,0.010548523206751037,0.4775489720417073,0.7160318587801792,-4.2932491162002435,2.789889188141352,-4.175169084954219,6.175695724607185,0.4991725667096919,-1.9104357679250958,6.221632437060654,0.758865814366685,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
fs_hhfoodindexnew1,Food security index,0.05529808824374098,0.09321352537147255,0.5541180475114618,0.050408728756318875,0.0931356173548734,0.5893290805222171,0.05758825199066133,0.0990851183057131,0.5621780165904864,0.04742654369562438,0.09639931036929664,0.6236174884811612,0.9275871673920584,0.898554255625808,-0.005060957688588899,0.06937725310167066,0.07555010321237923,0.06672300625875001,0.010548523206751037,0.9418472009197858,0.2575105773844064,-0.01019542008279431,0.08036948553721782,0.03493066932412032,0.07630156029483423,0.6472078892002003,0.07040075462912099,0.07605847796729488,0.35489389544923444,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
med_hh_healthindex1,Health index,-0.058228840683219915,0.07749897530198425,0.45388907711566806,-0.07238672132400344,0.07670797133669464,0.3472052869000113,-0.06354021320931656,0.08060283008890547,0.4320430632675143,-0.08074919178335077,0.0795503855742404,0.3120814242784249,0.7954825616778607,0.6587209432528258,-0.09762694901863755,0.0687319588714446,-0.031638632666825255,0.07265385333883087,0.010548523206751037,0.1554909468548941,0.6632207192213175,-0.10120864483051126,-0.029052462333678798,-0.07482972883335999,0.06877095190291249,0.2768406089725874,-0.03566898176803716,0.06910662215400627,0.6058799244167117,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
ed_index1,Education index,0.012858333502720032,0.07152742221259527,0.8576354993449278,-0.00901718616993825,0.0648351171936767,0.8896191458350224,-0.004224542986279968,0.07547132204940446,0.9554536701973488,-0.028381316474627247,0.0693783341452794,0.6832038396352824,0.3594418953160361,0.2895541716832947,-0.09936631405151072,0.10745171183912838,0.10456855009674632,0.06760513569267321,0.03477443609022562,0.3550943010455867,0.1219224476835264,-0.10010307632720868,0.07605501002842179,-0.008650436354418603,0.07447313783061114,0.9075605739715693,0.03249793261558379,0.0743707981738315,0.6622571666583229,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
psy_index_z1,Psychological well-being index,0.03231800429757119,0.07306018574660793,0.6590208368094723,0.02970867478434854,0.07315889013523559,0.6853920647072922,0.026405194548333,0.07309409153287105,0.7185378683809858,0.02234728528372031,0.07316656597836155,0.7605589644582444,0.7697594421396328,0.7119739720097571,0.02912746585740045,0.08146544786832992,0.035179653963179666,0.0742614269323441,0.0010263427984947026,0.7206847419595853,0.6356944916255893,0.0276481435229855,0.036506484008637194,0.010357317328204807,0.05312092904751597,0.8454397832144065,0.05464890865030466,0.05313617411925933,0.3039064044868393,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
ih_overall_index_z1,Female empowerment index,0.21459683546919586,0.08616557621890933,0.014111923055355913,0.20682483784416303,0.08424054063855191,0.01550321127528842,0.22999498562942616,0.08981361412411686,0.01168286327168655,0.22182095815218744,0.08846407698440559,0.013496386686934647,0.49688618140513807,0.5002105462132822,0.2010434462334165,0.09877600250438934,0.2770939698015736,0.14645901340018933,0.01910219675262657,0.041815964183124346,0.058496879296587284,0.18465705710046687,0.2798719935688032,0.18331108143902114,0.08490381633178,0.031204249475777542,0.23004920997990083,0.08403751829530684,0.006357389291846696,0.37950034627706974,0.24571879091898452,0.22701611829665333,0.11040712945191931
