outcome,label,control_mean,control_sd,N,treat_b,treat_se,treat_p,female_b,female_se,female_p,monthly_b,monthly_se,monthly_p,large_b,large_se,large_p,treat_joint_p,female_joint_p,monthly_joint_p,large_joint_p
psy_lncort_mean1,Log cortisol (no controls),2.4612516092355023,0.8929439307736841,1456,0.0031180110417202505,0.04669179338370132,0.9467725270529739,-0.16933669332405218,0.07220799762986262,0.019232912591404805,0.15975263034645693,0.083335931306902,0.055551673026058124,-0.08616561783802962,0.07201511918214416,0.23181297520636313,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_lncort_mean_clean1,Log cortisol (with controls),-0.03547401256812473,0.8833104131550149,1456,0.007250353507360171,0.046119313611569776,0.8751150066349362,-0.16941302339110448,0.07055004606382964,0.01653414910995199,0.172580947477695,0.08167991482977158,0.03487930228022518,-0.1188467201477907,0.07103045237718128,0.09463259681633218,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_cesdscore1,Depression (CESD),26.480821917808218,9.31363526195117,1474,-1.1595724374181624,0.43873628265565995,0.008357321142191232,-0.7701603089882253,0.6656548165446412,0.2475734456665586,-1.3960539124296778,0.7280008736503195,0.05546356830406163,-1.2151213746543534,0.6806091030343883,0.07453416693009696,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_worries_z1,Worries,0.0,0.9993139000004916,1474,-0.12882622048235615,0.04757786479718345,0.006900662761153198,-0.04465801428769788,0.07307005482586272,0.5412395993880845,-0.10863296162072976,0.07811868492849645,0.16467795844380695,-0.06527737633744203,0.07535981577654964,0.38660071998454204,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_stressscore_z1,Stress (Cohen),-8.573270823857556e-10,0.9993138830407499,1474,-0.25847932620119846,0.05054547937904067,3.840277746913756e-07,-0.024463926234336485,0.08201782609632922,0.7655599377638391,-0.02396850770756043,0.08720689762991474,0.783495771242765,-0.23505120315646977,0.0832827966012463,0.004870206416733636,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_hap_z1,Happiness (WVS),-1.694241615190898e-09,0.9993138934207915,1474,0.15968160484421057,0.0496045245345346,0.0013308927618345123,0.07353936517959428,0.078483370621481,0.3490009974307946,0.02929789758849946,0.08717970259905868,0.7368996044218594,0.06997154324165217,0.07725615620453798,0.36532687560193944,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_sat_z1,Life satisfaction (WVS),-1.26557807399802e-09,0.9993139064710989,1474,0.17094694495908663,0.047652148229498405,0.0003515695194884483,-0.07464230277216058,0.07313569636528865,0.30771163444948746,0.11672020303642465,0.07852006542068259,0.13748835691472205,0.1928407037448922,0.07700475821860574,0.012442145630157109,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_trust_z1,Trust (WVS),-1.4452085103074165e-08,0.9993139050893621,1474,0.04205606715380265,0.05092597009492782,0.4091155782275959,0.0841758570157198,0.07737419275014935,0.27692085792234034,-0.07592144790854059,0.08288693420815815,0.35992527998564916,-0.03734062098216897,0.07987625946045446,0.6402663614661219,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_locus_z1,Locus of control,8.771017397919746e-10,0.999313896030226,1474,0.034817422885114926,0.050672497782493005,0.49218815223225776,0.03845779801718603,0.08118681258117914,0.6358294667939037,-0.025416474074217515,0.08634564301191636,0.7685511162481109,0.08112670214563528,0.08178300011207192,0.32146991410410997,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_scheierscore_z1,Optimism (Scheier),-1.5003223941750723e-09,0.9993138963524769,1474,0.09832122036463693,0.0530316767133866,0.064057029013314,0.07299311174749754,0.08328922383647874,0.3810510938892979,0.019036167995705927,0.09061608591224604,0.8336556035337988,0.16178500008045033,0.08815015002802323,0.06677812781721748,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_rosenbergscore_z1,Self-esteem (Rosenberg),4.245810312767551e-09,0.9993139040337302,1474,0.0020825817087923915,0.05386008441764905,0.9691646418410587,0.18814686833888422,0.09087681957262186,0.0386974335131085,0.08960991731275278,0.09303363811008145,0.3357001596606699,-0.15083941926442493,0.0960897780674072,0.11681035411986107,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
psy_index_z1,Psychological well-being index,-1.7455246575393598e-09,0.9993138939404124,1474,0.25591443001385855,0.04959002623180244,3.01474080366404e-07,0.13863220160630763,0.07632857434206498,0.06965581233849827,0.014485792742770997,0.08441334835903654,0.8637853585124744,0.2630559077129151,0.07719562316108963,0.0006835929643966843,6.6014907804933326e-06,0.20846892854424975,0.20943572065356805,0.0038961231324785056
