outcome,coef,se,t,p_value,p_rw,p_bonf,p_holm,p_bh,note
asset_total_ppp1,310.3517803999644,28.020537606142927,11.075868163640306,1.1361651836853278e-26,0.0,6.816991102111966e-26,6.816991102111966e-26,6.816991102111966e-26,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
cons_nondurable_ppp1,38.6654012936407,5.9776349607498105,6.468344344799313,1.6995283964469558e-10,0.0,1.0197170378681735e-09,8.497641982234779e-10,5.098585189340867e-10,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
ent_total_rev_ppp1,17.32428032536209,6.084815401028693,2.8471332626513637,0.0045214286951368214,0.001,0.02712857217082093,0.013564286085410465,0.006782143042705233,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
fs_hhfoodindexnew1,0.3175013853546307,0.059116942041409555,5.37073424962054,1.0213788560451463e-07,0.0,6.128273136270878e-07,4.0855154241805853e-07,2.0427577120902927e-07,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
med_hh_healthindex1,0.06104417577948293,0.052362150372512226,1.1658072738649095,0.24403052963043612,0.2255,1.0,0.4485419463820364,0.24403052963043612,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
ed_index1,0.07012868254989393,0.05766376231744736,1.216165573169253,0.2242709731910182,0.2255,1.0,0.4485419463820364,0.24403052963043612,"sp.romano_wolf, complete cases N=823, village-demeaned, common baseline controls, cluster bootstrap 2000 (210s)"
