outcome,label,control_mean,control_sd,treat_mde,treat_pct,female_mde,female_pct,monthly_mde,monthly_pct,large_mde,large_pct
asset_total_ppp1,Value of non-land assets (USD),494.8,415.3170721270962,76.29261111533759,0.1541887856009248,141.0724685991433,0.28511008205162347,128.5670592285666,0.2598364171959713,137.4602430605049,0.27780970707458547
cons_nondurable_ppp1,Non-durable expenditure (USD),157.61,82.1802797444825,16.387572779368412,0.10397546335491663,28.77329153113423,0.18256006301081293,29.975322554611388,0.19018667949122128,29.359846174327703,0.1862816202926699
ent_total_rev_ppp1,"Total revenue, monthly (USD)",48.98,90.5218235487813,16.462595690336265,0.33610852777330064,29.705403964279455,0.6064802769350645,31.006367655476637,0.6330413976210012,24.83588120127242,0.5070616823452925
fs_hhfoodindexnew1,Food security index,0.0,0.9999999971679633,0.17188375230788058,,0.25493643912956704,,0.3008967823896442,,0.2826321574299272,
med_hh_healthindex1,Health index,-0.0,1.0012024994972295,0.17181012600148082,,0.23986098959808608,,0.2817026855448476,,0.25071538291040674,
ed_index1,Education index,0.0,0.9999999933979693,0.16420572450096502,,0.2467138533332814,,0.2732307719533414,,0.2394862750211148,
psy_index_z1,Psychological well-being index,-0.0,0.9993138939404124,0.13885207344904682,,0.21372000815778194,,0.23635737540530227,,0.21614774485105095,
ih_overall_index_z1,Female empowerment index,-0.0,1.000000005783822,0.19706083440969033,,0.28939039568561764,,0.3329348845304881,,0.3021732148111396,
