outcome,label,control_mean,control_sd,N,treat_b,treat_se,treat_p,treat_fwer,female_b,female_se,female_p,female_fwer,monthly_b,monthly_se,monthly_p,monthly_fwer,large_b,large_se,large_p,large_fwer,treat_joint_p,female_joint_p,monthly_joint_p,large_joint_p
asset_total_ppp0,Value of non-land assets (USD),383.36079398523464,374.15128042763484,1008,-1.1523777028150552,24.743918637220588,0.9628634562377845,0.9978,15.532045347465512,43.620860312141154,0.7218633158657082,0.9284,25.155450976066177,39.32606390658427,0.5225368272031101,0.9054,13.759542839342513,42.76725055486568,0.7477233932904079,0.9918,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
cons_nondurable_ppp0,Non-durable expenditure (USD),181.99081067377978,127.16493009112985,1008,-6.158077913007785,8.311519483770155,0.45892146898013486,0.9744,-28.051609355715673,15.143841072535407,0.06426886196138559,0.3116,-8.013824817358701,13.277934438367042,0.5462824162382125,0.9054,-5.56336264289963,14.36028663899064,0.6985323000704922,0.9918,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
ent_total_rev_ppp0,"Total revenue, monthly (USD)",84.91601380602557,402.5918475131571,1008,-33.19047202262007,18.53729378525253,0.07367866523959377,0.4238,-31.77157175629429,14.344184594413637,0.02698706426016284,0.1469,-7.58802080326057,14.992610055311268,0.6128850153544159,0.9054,-10.772093056133656,12.380682086580407,0.3844680434948162,0.9484,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
fs_hhfoodindexnew0,Food security index,7.570453799597107e-10,0.9995043416981949,1008,0.00023049037103877576,0.05831723099510869,0.9968472683756224,0.9978,0.051758061713864045,0.0907204281090872,0.5684505213861,0.9284,0.2494300421519713,0.09977003978323566,0.01257571059385909,0.078,-0.007225184203374746,0.08795948251581805,0.9345499702778541,0.9918,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
med_hh_healthindex0,Health index,0.012972685560989792,1.0227800139899368,1008,0.025502773826873097,0.062402014001212334,0.6828576576394298,0.9765,0.25510993536761406,0.09358808723389664,0.006524302992306552,0.0381,0.1390058735287794,0.10320164836849362,0.17830432297889232,0.5488,-0.1404541859420003,0.09992375061245323,0.16014733360074462,0.6994,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
ed_index0,Education index,6.515971001456765e-09,0.9994108998873773,853,-0.06814634269603483,0.06290026325559801,0.27893602226370273,0.8939,0.14274008004587138,0.08710691627101674,0.10164978824988125,0.4002,0.15573320554967512,0.09268462567078889,0.09327554177709829,0.4175,-0.05202473662077414,0.08736358141164269,0.5516695525142397,0.9795,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
psy_index_z0,Psychological well-being index,-3.9630513002462544e-10,0.9993668897597853,1569,0.025788765293687555,0.05003861772612075,0.6064051871143392,0.9765,0.02026519228697435,0.07845536124921774,0.7962277051197533,0.9284,0.1884003278760731,0.08344608530910783,0.02417976559458257,0.1299,0.17989897796910836,0.08082872962400164,0.026261474360540493,0.1627,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
ih_overall_index_z0,Female empowerment index,1.158079375391421e-09,0.9992740464928594,751,-0.051885003861488414,0.0744839761513138,0.48627347556459255,0.9744,0.07659117921521368,0.10976307966420096,0.4855270783251311,0.9284,0.18006358671785191,0.12290628891628756,0.1433269411284348,0.5313,0.025973990156442663,0.12493201146388319,0.8353595848578701,0.9918,0.6418959413747547,0.004180939409889367,0.016661923239407732,0.36446700896351697
