outcome,label,beta,se_cluster_village,p_cluster,p_wild_rademacher,ci_wild_lo,ci_wild_hi,p_ri_village_level,n_villages
asset_total_ppp1,Value of non-land assets (USD),0.9998601808476337,21.43672004194837,0.9628744988368652,0.9639819909954978,-41.596853103231936,42.31044130505457,0.9655,123
cons_nondurable_ppp1,Non-durable expenditure (USD),-7.768141490587716,7.199802847031753,0.28274386409730856,0.27313656828414207,-22.231460042799263,5.825882234193376,0.2825,123
ent_total_rev_ppp1,"Total revenue, monthly (USD)",-3.676754868950902,6.179157006535723,0.5529285988600366,0.5392696348174087,-16.107564360905094,8.389438967702304,0.5555,123
fs_hhfoodindexnew1,Food security index,0.05529808824374094,0.09321352537147254,0.5541180475114618,0.5782891445722862,-0.13493176240237084,0.2463410068469303,0.5595,123
med_hh_healthindex1,Health index,-0.05822884068321991,0.07749897530198427,0.45388907711566806,0.4542271135567784,-0.21125023509914378,0.09861618922861062,0.4455,123
ed_index1,Education index,0.012858333502720067,0.07152742221259524,0.8576354993449272,0.8619309654827414,-0.12821509730484784,0.14988642350387638,0.8645,122
psy_index_z1,Psychological well-being index,0.032318004297571166,0.07306018574660793,0.6590208368094725,0.6648324162081041,-0.11811014699110794,0.17314281195823233,0.6555,123
ih_overall_index_z1,Female empowerment index,0.21459683546919592,0.08616557621890934,0.014111923055355911,0.021510755377688845,0.03921947877360432,0.38577589565711057,0.014,122
