exhibit,row,col,file,y,cond,kernel,bwselect,masspts,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r
T3,resid1_lnv,2,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,5520,7.1757441,7.1757441,10.137983,10.137983,.072479405,.18647194,.032952342,.22891179,1342,1107
T3,resid1_lnv,3,T3_Channels/channels_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,5520,6.6173143,6.6173143,10.176941,10.176941,.11226795,.18365115,.069728725,.22638007,1106,988
T3,resid1_lnv,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,2272,4.9899454,4.9899454,8.6499081,8.6499081,-.089108802,.1296775,-.11044383,.15199199,350,197
T3,resid1_lnv,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,2272,4.6989946,4.6989946,8.4413872,8.4413872,-.0729656,.13850026,-.089506455,.16021191,324,165
T3,resid1_lnv,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,2272,4.8292804,4.8292804,9.0279531,9.0279531,.022226641,.15505096,.033885036,.17848499,330,169
T3,resid1_lnl,1,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,5473,6.500031,6.500031,9.8335371,9.8335371,-.22246413,.16364801,-.27206713,.20669426,1050,824
T3,resid1_lnl,2,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,5473,6.4729543,6.4729543,9.7734451,9.7734451,-.18962318,.15792114,-.22794926,.20060447,1050,820
T3,resid1_lnl,3,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,5473,5.8101506,5.8101506,9.1967468,9.1967468,-.090971291,.15525627,-.082955047,.20103702,943,714
T3,resid1_lnl,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,2259,7.7967019,7.7967019,10.784058,10.784058,-.0072202375,.19388236,-.073710285,.24522632,646,461
T3,resid1_lnl,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,2259,7.7561102,7.7561102,10.982093,10.982093,.039876711,.19252563,.012143509,.24265127,644,456
T3,resid1_lnl,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,2259,6.3187709,6.3187709,9.8857241,9.8857241,.085266732,.20190708,.05313839,.24737936,482,327
T3,resid1_lnk,1,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,5380,6.9293427,6.9293427,9.9120579,9.9120579,-.39928046,.22116463,-.47874522,.28306895,1088,986
T3,resid1_lnk,2,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,5380,5.5966835,5.5966835,8.5708132,8.5708132,-.4452844,.26783442,-.50433582,.33269566,873,422
T3,resid1_lnk,3,T3_Channels/channels_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,5380,4.0032134,4.0032134,7.0917501,7.0917501,-.60904568,.28897277,-.69775134,.36039743,633,305
T3,resid1_lnk,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,tri,mserd,off,2271,7.6897678,7.6897678,11.013892,11.013892,-.097668208,.21233818,-.059654847,.26448745,649,459
T3,resid1_lnk,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,epa,mserd,off,2271,6.3860908,6.3860908,9.6990461,9.6990461,-.078001872,.22343808,-.040603798,.27611995,492,346
T3,resid1_lnk,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnk,neg_ind0==1,uni,mserd,off,2271,4.7819338,4.7819338,8.4542446,8.4542446,-.10298032,.25857231,-.042069551,.28920385,330,171
T3,resid1_lnm,1,T3_Channels/channels_QJE_final.dta,resid1_lnm,neg_ind0==1,tri,mserd,off,5540,5.4800277,5.4800277,7.9358606,7.9358606,-.04719609,.23692054,-.068022594,.28833669,914,435
T3,resid1_lnm,2,T3_Channels/channels_QJE_final.dta,resid1_lnm,neg_ind0==1,epa,mserd,off,5540,5.1366529,5.1366529,7.6485295,7.6485295,-.04494055,.23802063,-.062060844,.28867465,830,413
T3,resid1_lnm,3,T3_Channels/channels_QJE_final.dta,resid1_lnm,neg_ind0==1,uni,mserd,off,5540,6.2192459,6.2192459,8.869319,8.869319,-.045865506,.17846464,-.023360845,.21800205,1056,776
