sample,kernel,bwselect,p,donut,h,b,estimate_conv,se_conv,ci_conv_lo,ci_conv_hi,pvalue_conv,estimate_rbc,se_rbc,ci_rbc_lo,ci_rbc_hi,pvalue_rbc,n_left,n_right,status
nonpolluting,triangular,mserd,1,0.0,5.716276897259834,9.726619017073748,0.03807938546170819,0.08809108558427618,-0.13457596964250867,0.21073474056592506,0.6655431104576066,0.027537078403865725,0.10648966741406851,-0.18117883445335714,0.23625299126108862,0.7959522134267973,6369,5167,ok
nonpolluting,triangular,mserd,2,0.0,4.915044891969789,6.993977066681906,0.11370724535113011,0.13799007214914122,-0.15674832628527027,0.3841628169875305,0.40992545128412927,0.12366742975889905,0.1565478624116708,-0.18316074242470737,0.43049560194250547,0.4295478446563793,6369,5167,ok
nonpolluting,triangular,cerrd,1,0.0,3.5810509128337724,9.726619017073748,0.10775732438677929,0.11362690979179232,-0.11494732647971528,0.33046197525327387,0.34295468838126897,0.10418086227291976,0.12319237203622224,-0.1372717500881351,0.34563347463397465,0.3977333800529913,6369,5167,ok
nonpolluting,triangular,cerrd,2,0.0,2.880116439816169,6.993977066681906,0.0331944851243649,0.12595541475727642,-0.21367359145770173,0.2800625617064315,0.7921332034685568,0.035440918311375996,0.1408452073537527,-0.24061061549705523,0.31149245211980725,0.80132685506236,6369,5167,ok
nonpolluting,triangular,msetwo,1,0.0,"(4.615772339450995, 6.645447141113174)","(8.324973924807457, 10.219360729268958)",0.04950752065594492,0.10193176252825792,-0.15027506278013003,0.2492901040920199,0.6271850066230003,0.04644342134691684,0.11904527027963611,-0.18688102093100642,0.2797678636248401,0.6964386185831805,6369,5167,ok
nonpolluting,triangular,msetwo,2,0.0,"(5.384687631381886, 4.9067830536281924)","(6.764597854646827, 7.7998636464229225)",0.10179131738901825,0.13536347138880103,-0.16351621135534983,0.36709884613338634,0.452060002292328,0.11226507647417133,0.1536385208385782,-0.18886089100744852,0.4133910439557912,0.4649568115253857,6369,5167,ok
nonpolluting,epanechnikov,mserd,1,0.0,5.863868370684025,10.200983602320111,0.021201679230577877,0.09095307481259117,-0.15706307168527794,0.19946643014643367,0.8156793368907277,0.002948441444565089,0.10984638883327309,-0.21234652450043295,0.2182434073895631,0.9785861558311802,6369,5167,ok
nonpolluting,epanechnikov,mserd,2,0.0,5.058752056535459,7.181940608223678,0.11097865182469617,0.1428219749323263,-0.16894727524354575,0.3909045788929381,0.4371340789656122,0.1305298512112686,0.16391626681916108,-0.190740128234545,0.4517998306570822,0.4258458878529364,6369,5167,ok
nonpolluting,epanechnikov,cerrd,1,0.0,3.673511895765782,10.200983602320111,0.10147200647910065,0.111945599114781,-0.11793733601362905,0.32088134897183035,0.3647028312725785,0.09532948731728884,0.11989345302013636,-0.13965736258432337,0.3303163372189011,0.42654464796325686,6369,5167,ok
nonpolluting,epanechnikov,cerrd,2,0.0,2.9643259183218844,7.181940608223678,0.041179059915906535,0.13928518165178638,-0.23181487970171394,0.314172999533527,0.7675006973545794,0.044979793352466144,0.15252347698506563,-0.2539607283350863,0.34392031504001863,0.768067166647727,6369,5167,ok
nonpolluting,epanechnikov,msetwo,1,0.0,"(5.137857025748434, 6.920078307305501)","(9.324732613689893, 10.864445149122266)",0.03992743682643619,0.09698914748807759,-0.15016779914143935,0.2300226727943117,0.680581963036097,0.011141344389165364,0.11479577605613675,-0.21385424225818817,0.2361369310365189,0.9226838213517767,6369,5167,ok
nonpolluting,epanechnikov,msetwo,2,0.0,"(5.21617825592305, 5.355745185895175)","(6.632281355153297, 8.061634691185875)",0.11890469305028911,0.13922574526197906,-0.1539727533839379,0.3917821394845161,0.3930814832625654,0.13195159383597577,0.15710010262069926,-0.17595894926814132,0.43986213694009285,0.4009529730517881,6369,5167,ok
nonpolluting,uniform,mserd,1,0.0,4.491316617103299,9.100693587834614,0.03508388537628133,0.10243550537756757,-0.16568601590191015,0.2358537866544728,0.7319766655689597,0.010105077168888352,0.11423265574415314,-0.21378681394801435,0.23399696828579103,0.929510682347585,6369,5167,ok
nonpolluting,uniform,mserd,2,0.0,4.705692772094981,7.380792582464218,0.09494914935071853,0.14258447384737574,-0.18451128414473117,0.3744095828461682,0.5054653898707621,0.14228692113461505,0.15707904851586052,-0.16558235668229138,0.4501561989515215,0.36502581721722827,6369,5167,ok
nonpolluting,uniform,cerrd,1,0.0,2.8136554195289496,9.100693587834614,0.14191230812348837,0.123272348870846,-0.09969705595302658,0.3835216722000033,0.24964602777032496,0.1321338221495198,0.13912864800001334,-0.14055331714825697,0.40482096144729657,0.34225248947701226,6369,5167,ok
nonpolluting,uniform,cerrd,2,0.0,2.757440351313516,7.380792582464218,0.0635313791123287,0.15664234092977225,-0.2434819675640693,0.3705447257887267,0.6850494509108676,0.07148865466653231,0.1585773009134894,-0.2393171438894775,0.38229445322254213,0.6521245768791046,6369,5167,ok
nonpolluting,uniform,msetwo,1,0.0,"(3.0787621031811914, 4.744373284107909)","(6.228373322825434, 8.35376936390226)",0.12353395879967956,0.12260605425754154,-0.11676949183166561,0.3638374094310247,0.31366181174679086,0.13773473522579507,0.14032598122274492,-0.13729913406602887,0.412768604517619,0.32632942864448444,6369,5167,ok
nonpolluting,uniform,msetwo,2,0.0,"(4.8968888609127745, 5.272273016679028)","(6.811042916636092, 7.9839218977211175)",0.10315562634676385,0.14343310244420385,-0.1779680886347197,0.38427934132824737,0.4720239742510447,0.13209948085176748,0.1521190767542821,-0.16604843094810956,0.4302473926516445,0.3851780045079257,6369,5167,ok
